GILBERT GN
MORAVCSIK MJ
BLICKENSTAFF J
SNIZEK WE
DAVIS CH
SCHUBERT A
SCHUBERT A
RABKIN YM
FRAME JD
HAITUN SD
MORAVCSIK MJ
PERITZ BC
ETO H
BALDAUF RB
VANHOUTEN J
MORAVCSIK MJ
MORAVCSIK MJ
MCCAIN KW
TODOROV R
PERITZ BC
GREGORY JG
ROCHE M
KOCHEN M
RAJESWARI AR
MIDORIKAWA N
HAITUN SD
SCHUBERT A
EISEMON T
MORAVCSIK MJ
CALLON M
NADEL E
NARIN F
KHAITUN SD
GREGORY JG
BRAUN T
BONITZ M
DIETZE J
BONITZ M
ROY R
BRUNK GG
GATRELL AC
RUSHTON JP
WAKEFORD R
STOTT NCH
RUSHTON P
SHOYINKA PH
GARFIELD E
VLACHY J
VLACHY J
VLACHY J
VLACHY J
VLACHY J
VLACHY J
VLACHY J
SIMONTON DK
NARIN F
BEIER FK
ZUNDE P
BROOKES BC
KUNZ M
CARVAJAL R
ETO H
GOLDBERG AI
KOEN V
NEU J
BROOKES BC
FOX MF
BROOKES BC
ARUNACHALAM S
SIMONTON DK
MENDENHALL M
BRITTAIN JM
NOMA E
MCCAIN KW
CHUBIN DE
KURATA K
PERITZ BC
ROY R
ANTON K
MCCREERY LS
GATRELL AC
CICARELLI J
BOICE R
BOICE R
PRICE DD
SIRILLI G
GRIFFITH BC
ZHAO HZ
QURASHI MM
COHEN JE
HOPKINS FL
SCHUBERT A
LYON WS
BALDAUF RB
MORAVCSIK MJ
GORDON MD
HAITUN SD
FRAME JD
NALIMOV VV
INHABER H
SENGUPTA IN
HURT CD
TODOROV R
SCHUBERT A
SIMONTON DK
ETO H
DIAMOND AM
SCHUBERT A
BROWN WB
NALIMOV VV
SNIZEK WE
FRAME JD
KARMESHU
LERNER J
GIERYN TF
MORAVSCIK MJ
SUPPE F
PYENSON L
GREGORY JG
POIKOLAINEN K
SCHUBERT A
HOLMFELD JD
RIP A
STUDER KE
RICHARDS JM
SCHUBERT A
SCHUBERT A
MORAVCSIK MJ
RESTIVO S
[Anon] .
LENK PJ
MILIC V
VELHO L
SHRUM W
MACROBERTS MH
SMITH DR
BALDWIN DR
PICKERING A
BOICE R
HARTMANN C
LANSKY P
MAHONEY MJ
MOUNTJOY PT
ROSSET R
RUSHTON JP
SMITH TE
BENSMAN SJ
GARFIELD E
MORAVCSIK MJ
GAREAU FH
VLACHY J
VLACHY J
VLACHY J
VLACHY J
VLACHY J
VLACHY J
VLACHY J
VLACHY J
VLACHY J
MULLERBRETTEL M
PAO ML
MORAVCSIK MJ
CAGNIN MAH
MORALES M
SIMONTON DK
NEU J
EGGHE L
SCHRADER AM
ERDLE S
WARE NC
ARUNACHALAM S
SMALL H
SHAW WM
ERES BK
NELSON MJ
NOMA E
SICHEL HS
DOREIAN P
SAWAI K
KURATA K
LOMNICZI B
LOMNICZI B
TELCS A
NOMA E
BAILAR JC
ROSENGREN KE
WALLACE DP
PERRY LS
NOLTINGK BE
SILVERMAN RJ
BOICE R
SALTER L
ROY R
OROMANER M
BAKKER P
NEDERHOF AJ
LEARY RA
KRETSCHMER H
MCALLISTER PR
PAVITT K
BALOG C
BALOG C
SCHUBERT A
MORAVCSIK MJ
MEDOWS J
[Anon] .
MORAVCSIK MJ
MARTON J
SCHUBERT A
MORAVCSIK MJ
STEFANIAK B
TODOROV R
GLANZEL W
CHUBIN DE
LONG JS
IRVINE J
DOBROV GM
KOCHEN M
MOMBERS C
MULLINS NC
NARIN F
AVERSA ES
SMALL H
CHRISTOVAO HT
COZZENS SE
COLE S
YABLONSKY AI
BONITZ M
GARFIELD E
VLACHY J
BRAUN T
ARUNACHALAM S
SZABO AT
SHRUM W
ZHAO HZ
BALOG C
SWALES JM
DAVIES BR
AMIR S
SCHUBERT A
MORAVCSIK MJ
MORAVCSIK MJ
MOED HF
PORTER AL
MOED HF
LANGE L
LIBKIND AN
PRAVDIC N
ROTHMAN H
ALONI M
ARUNACHALAM S
DIAMOND AM
SMALL H
DOREIAN P
SENGUPTA IN
GRABE W
COZZENS SE
IRVINE J
DOLMAN H
SMITH DR
CUTCLIFFE SH
SALANCIK GR
BALDAUF RB
SWALES J
BALDAUF RB
STONE GL
GARFIELD E
BROOKES BC
VLACHY J
BEAVER DD
BROOKES BC
CZERWON HJ
DIEKS D
EBELING W
ALAEZ LF
HAITUN SD
HURT CD
KRETSCHMER H
KUNZ M
MOED HF
MOED HF
NARIN F
PAO ML
SCHUBERT A
SCHUBERT A
SHAW DF
SIMONTON DK
SMALL H
STEFANIAK B
TODOROV R
TODOROV R
TOMOV D
VLACHY J
YANKEVICH WF
VLACHY J
VLACHY J
VLACHY J
VLACHY J
VLACHY J
CZERWON HJ
VLACHY J
CZERWON HJ
WHEALE PR
HE CP
OROMANER M
GRABE W
DOBROV GM
NEU J
LYON WS
DIAMOND AM
COCKS TM
ARUNACHALAM S
EGGHE L
PAO ML
SMALL H
MCCAIN KW
EGGHE L
CHEN YS
DIAMOND AM
ANDERSON J
BUDD J
SAITO Y
MCCAIN KW
AIMONE AC
WILLIAMS B
HITZEROTH C
GRANOVSKII YV
MARSHAKOVA IV
IVANOV SA
MCCAIN KW
NADEL E
PAO ML
HICKS D
FELDMAN KA
RIGTER H
VINKLER P
HEALEY P
RIP A
SNIZEK WE
LAWANI SM
ZHAO HZ
FRIJDAL A
BALOG C
PONTIGO J
VELHO L
NALIMOV VV
MORAVCSIK MJ
MORAVCSIK MJ
LEYDESDORFF L
SIMONTON DK
YUTHAVONG Y
HARGENS LL
NESVETAILOV GA
TODOROV R
HERRMANN DB
LIPATOV YS
JIMENEZ J
SIMEON V
SCHUBERT A
CROUCH D
SIMONTON DK
SCHUBERT A
SCHUBERT A
MORGAN RP
HAITUN SD
MOED HF
LEVINE LO
SEN SK
EGGHE L
PERSSON O
GUAY Y
SMALL H
BLANPIED WA
MORAVCSIK MJ
HAITUN SD
VINKLER P
MORAVCSIK MJ
KRAUSKOPF M
MENDEZ A
RILEY K
MULTHAUF RP
DONOVAN A
SENGUPTA IN
LANCASTER FW
PRAVDIC N
LANGE L
SMART JC
SENTER R
VANETTEN G
HUFBAUER K
MACROBERTS MH
MORAVCSIK MJ
SHENHAV YA
POURIS A
PANARETOS J
GANDER JP
SHARIF MN
GRUPP H
BRUSH SG
BAIROCH P
KINNUCAN MT
DEANDRES MP
KRAUSKOPF M
ENDLER NS
GARFIELD E
VLACHY J
BOXENBAUM H
SLATER PB
SLATER PB
XEKALAKI E
GAL F
BRANSON I
PRAVDIC N
MARICIC S
TAGUE J
MENDEZ A
GAREAU FH
NEU J
RABKIN YM
KOCHEN M
ROUSSEAU R
BROADUS RN
PAVITT K
ALKHARAFI F
BOTTLE RT
KING J
LOGAN EL
EGGHE L
NICHOLLS PT
NEIMEYER RA
CHUBIN DE
MCCAIN KW
PIERCE SJ
STANKUS T
LANCASTER FW
MACROBERTS MH
MARTIN BR
RUSHTON JP
ROSENGREN KE
LUUKKONENGRONOW T
STOLTEHEISKANEN V
BAYER AE
AMIR S
PATEL P
BASBERG BL
NARIN F
SIRILLI G
ACHILLADELIS B
IRVINE J
BALABAN AT
BLAUBERG IV
BRAUN T
DANIELS WD
ETO H
DESTEFANO DA
MORAVCSIK MJ
VELHO L
DOREIAN P
EGGHE L
PUZIKOV MD
KRANZBERG M
DREW DE
YUTHAVONG Y
ROCHE M
FRAME JD
BRAUN T
PRUTHI S
KUNZ M
LIPATOV YS
CHEN YS
HALL DH
ROUSSEAU R
TROFIMENKO AP
DIAMOND AM
MORAVCSIK MJ
VANHEERINGEN A
VANHEERINGEN A
LEYDESDORFF L
VANRAAN AFJ
NEDERHOF AJ
TIJSEEN RJW
BRAUN T
PRABHA CG
GUPTA DK
VINKLER P
RUSSELL JM
MENDEZ A
SHAW JG
BRUNK GG
FRAME JD
STEFANIAK B
BIALON L
JAKUBOWSKI A
KOT SM
LEWICKASTRZALECKA A
OKRASA W
SITARSKA A
SCHUBERT A
MACROBERTS MH
LINE MB
MORAVCSIK MJ
NALIMOV VV
LEYDESDORFF L
SNIZEK WE
MEADOWS AJ
OROMANER M
LAWANI SM
NEDERHOF AJ
ZUCKERMAN H
SMALL H
NARIN F
COLE S
KRETSCHMER H
BROADUS RN
NORDSTROM LO
SCHUBERT A
MORAVCSIK MJ
JACCERINO V
LIEVROUW LA
TURNER RS
PICKERING A
JASANOFF SS
HICKS D
VANDEVALL M
SENTER R
SWALES J
BOICE R
STAHL MJ
NAPPER SA
CRONIN B
NOMA E
CHOI JM
KRAUSKOPF M
MERGES RP
SINGH R
DESCARRIESBELANGER F
GARFIELD E
VLACHY J
BURCHINSKY SG
BLACK B
JOHNES G
DOREIAN P
NICHOLLS PT
NELSON MJ
WILLETT P
BEGUM KJ
BURRELL QL
TODOROV R
GLANZEL W
ARUNACHALAM S
ARUNACHALAM S
SOYIBO A
MANORAMA K
ARUNACHALAM S
PRUTHI S
FINDLAY CS
DOREIAN P
GLOGOFF S
MCCAIN KW
LEPAIR C
COZZENS SE
KISHIDA K
GLISMANN HH
BELAYA AA
DUPLENKO YK
ARTAMONOVA NO
SHARABCHIEV YT
DEARENAS JL
STEVCIC Z
HARA H
ROSE K
BARROM CP
SIMONTON DK
SHENHAV YA
POURIS A
COLLINS P
FRAME JD
GLAENZEL W
BEAVER DD
[Anon] .
[Anon] .
BRAUN T
PURICA II
KUNZ M
HAITUN SD
NIEUWENHUYSEN P
WOOD JB
FLOR AG
VANSTEIJN F
SWALES J
PORTER AL
KANEIWA K
HERRMANN DB
SCHUBERT A
LYON WS
MARTIN BR
BRAUN T
GUAY Y
OVER R
EHIKHAMENOR FA
VINKLER P
GARG KC
ETO H
KUNZ M
SANGSTER J
BROMLEY DA
BRAUN T
JIMENEZ J
CHAKRAVARTHY R
LINDSEY D
ARUNACHALAM S
FREY BS
PRAVDIC N
KIDD JS
ONODERA N
VINKLER P
SMALL H
HEALEY P
PHILLIPS DC
COLLINS PMD
CARPENTER MP
CREWE I
LAW J
GIUSTI WL
MCGINNETY JA
KING J
PORTEOUS M
PAVITT K
MORAVCSIK MJ
MORAVCSIK MJ
MORAVCSIK MJ
VANRAAN AFJ
BRAUN T
NAGPAUL PS
HOHENESTER A
AJIFERUKE I
NASIEROWSKI W
VINKLER P
NEDERHOF AJ
KRYZHANOVSKY LN
EGGHE L
SCHUBERT A
STANKUS T
BRUNK GG
ARVANITIS R
MORAVCSIK MJ
PLATT J
NOGUCHI S
GREESON LE
DIAMOND AM
SHENHAV YA
LOUIS KS
MENZIES T
WHITE HD
PARKER G
GRILICHES Z
ANDERSON GM
NICHOLLS P
BRACKEN JK
BORGMAN CL
LIEVROUW LA
MIYAMOTO S
SMALL H
MCCAIN KW
ZSINDELY S
GARFIELD E
GARFIELD E
GARFIELD E
GARFIELD E
CAWKELL AE
GARFIELD E
OVER R
HARTLEY J
DOREIAN P
PACKER CV
HAMERS L
CHEN YS
REESPOTTER LK
ROUSSEAU R
SIMONTON DK
MAHESWARAPPA BS
NELSON MJ
COLANDER D
NEILL SD
PENAVA Z
NIEUWENHUYSEN P
DEARENAS JL
ALVARADO CS
SCHUBERT A
SIEVERT ME
MACROBERTS MH
NICHOLLS PT
ALBERT RS
COTTRILL CA
ACS ZJ
LOCKETT MW
CULLARS J
LAVRIK OL
KANOVEI AV
REBROVA MP
SNYDER HW
LOGAN EL
OVER R
HORNER KL
GAILLARD J
LEVIN SG
ETO H
LEYDESDORFF L
PHILLIMORE AJ
NARIN F
COWARD HR
PENDLEBURY D
[Anon] .
GRANOVSKY YV
BRAUN T
DOBROV G
GRANOVSKY YV
HAITUN SD
KORENNOI AA
MALCIENE L
MOKHOV OI
MOTYLEV VM
ORLOV SV
SHARABCHIEV JT
DOROSHENKO SI
KOSTYUK V
BRAUN T
GUPTA DK
PURICA II
LINDSEY D
KYVIK S
DAVIS CH
KIDD JS
RICE RE
TIJSSEN RJW
YAMAZAKI S
ROUSSEAU R
HAN HC
YAALON DH
TAGUE J
BRAUN T
LEYDESDORFF L
LUUKKONEN T
IRVINE J
ARUNACHALAM S
GROENEWEGEN P
NEDERHOF AJ
COZZENS SE
AMSTERDAMSKA O
MOED HF
HAGENDIJK RP
VANROSSUM W
COURTIAL JP
BASTIDE F
KRANAKIS E
TODOROV R
VANRAAN AFJ
MENDEZ A
SCHUBERT A
VANRAAN AFJ
KORENNOI A
BRAUN T
HALL DH
CRONIN B
SELF PC
DOU H
PLOMP R
MORAL LP
OLUICVUKOVIC V
LEYDESDORFF L
GILLETT R
MCCAIN KW
KRYZHANOVSKY LN
SCHUBERT A
MORAVCSIK MJ
BRAUN T
SEN SK
SEN SK
NARANAN S
RAJESWARI AR
SENGUPTA IN
SENGUPTA IN
NAGPAUL PS
SINGH P
KUMARI L
SATYANARAYANA K
SCHUBERT A
SHENHAV YA
POURIS A
VANELS WP
NEDERHOF AJ
CHATELIN Y
SAPP G
HUMMON NP
MORAVCSIK MJ
COURTIAL JP
WHITTAKER J
POURIS A
BRAUN T
MACROBERTS MH
COLE S
SEGLEN PO
COLSON H
GAILLARD J
LUUKKONEN T
KOENIG MED
SALVADOR P
KRAUSKOPF M
DIXON B
TSAFRIR JS
ALBERANI V
CAMPBELL FM
SOLC M
SARAFOGLOU N
STONE GL
GARFIELD E
DIXON B
GARFIELD E
GARFIELD E
ARUNACHALAM S
KAHANA E
SIMONTON DK
KYVIK S
OVER R
TUIJNMAN A
UZUN A
OLUICVUKOVIC V
QIU LW
TODOROV R
SARALA R
HEINZ L
SEN SK
JOHNSON AM
SCHOEPFLIN U
AMMON U
EHIKHAMENOR FA
GRILICHES Z
MEDOFF MH
MURRAY HG
HAFFERTY FW
EGGHE L
TAGUE J
BRAUN T
ROUSSEAU R
EFTHIMIADIS EN
THORPE P
TIJSSEN RJW
EHIKHAMENOR FA
CRONIN B
WASSERMAN S
LYON WS
SINGH UN
STEVENS G
KIDD JS
ROUSSEAU R
EGGHE L
YERKEY N
GUPTA U
TIJSSEN RJW
BOOKSTEIN A
CHEN YS
EHIKHAMENOR FA
MCCAIN KW
BAYER AE
EGGHE L
MURRAY CJL
GREGORY G
ZWAAN RA
KELLAND JL
HARTER SP
GERTZOG A
BRAUN T
MILMAN BL
MARKUSOVA VA
BEASLEY JE
MARICIC S
SILOBRCIC V
RUSHTON JP
BROOKS TA
BONZI S
RICE RE
KAHN AS
GRANSTRAND O
VANVIANEN BG
BERMAN EM
LUUKKONEN T
NEDERHOF AJ
FRAME JD
GOMEZ I
TURNER WA
ENGLISCH H
LEYDESDORFF L
PENDLEBURY D
PENDLEBURY D
CZERWON HJ
BRUCKNER E
KRETSCHMER H
BONITZ M
BONITZ M
KRETSCHMER H
PESCHEL M
MESKE W
SCHUBERT A
SCHUBERT A
KUNZ M
NORDSTROM LO
SPAGNOLO F
GRUPP H
SPANGENBERG JFA
SPANGENBERG JFA
LEYDESDORFF L
URATA H
LYON WS
PERITZ BC
OVER R
GUPTA BM
KARKI MMS
MYCHKOMEGRIN AY
SPANGENBERG JFA
TROFIMENKO AP
EHIKHAMENOR FA
SCHUBERT A
SCHUBERT A
KLAIC B
SO CYK
TODOROV R
UZUN A
MIAO QH
HARGENS LL
STEVENS G
COURTIAL JP
SHAW A
TODOROV R
BRAUN T
LUUKKONEN T
PLOMP R
PERITZ BC
HOGAN TJ
QIU LW
LANCASTER FW
KONRAD N
LEYDESDORFF L
LEYDESDORFF L
ROUSSEAU R
DANIEL HD
FICHTNER D
ALEWELL K
DANIEL HD
GIESE E
RAU E
BACKESGELLNER U
BAUMERT J
FINKENSTAEDT T
HARTMANN I
BLOCK HJ
SCHLIEROOSEN F
GRUPP H
FAUST K
WEINGART P
PFETSCH FR
SPIEGEL HR
BRAUN T
GLANZEL W
CHUSMIR LH
LONG JS
BOTELHO AJJ
BAKER DR
MOORE S
KRYZHANOVSKY LN
LIEVROUW LA
KYVIK S
BRAUN T
BRAUN T
CURZON G
DUPLENKO YK
LANGE L
LEVIN SG
HOVIS RC
PAVITT K
HARGENS LL
MYCHKOMEGRIN AY
KIM MT
HARGENS LL
KING C
SIMONTON DK
DUPLENKO YK
GRANT L
SPIES BR
EGGHE L
WHITNEY G
VESSURI HMC
BONITZ M
WELLINGTON J
CABRAJEC L
PALMER J
BAYER AE
SPARROW WA
OLUICVUKOVIC V
SEGLEN PO
PATEL P
LELE JK
SINGH UN
BAKER DR
BRICKER R
BRAAM RR
BRAAM RR
AJIFERUKE I
MCCAIN KW
NEDERHOF AJ
HOOTEN PA
EVERETT JE
CARLEY K
CHUBIN DE
KEALEY T
BONITZ M
KANDO N
MCCAIN KW
EISEMON TO
SCHOTT T
DEBRUIN RE
KEALEY T
KEALEY T
IVANOV SA
BLINKINA EM
GORBUSHIN NG
CHERNYSHEVA LV
PHILLIPS DP
GELLATLY IR
CUSHING JT
LOGAN EL
CURRY MR
PARDECK JT
DURDEN GC
GRUPP H
OAKEY RP
LINDSEY D
PAVITT K
ALBERT MB
DEBRESSON C
VANDERMEULEN B
MCCAIN KW
BRAUN T
BRAUN T
GARFIELD E
SNIZEK WE
BECK MT
ABDULLAH SB
NALIMOV VV
TRIMBLE V
QURASHI MM
EGGHE L
BONITZ M
MEADOWS AJ
PERITZ BC
PRAVDIC N
VINKLER P
TODOROV R
ARCHIBALD G
SINGH UN
LINDSEY D
PETERS HPF
PAO ML
ETO H
SENGUPTA IN
SCHUBERT A
MARTIN BR
BRAUN T
LEYDESDORFF L
KEALEY T
COHEN JE
LOGAN EL
RICHARDS JM
VANRAAN AFJ
SCHUBERT A
YITZHAKI M
POURIS A
BRIDGSTOCK M
SIKORAV JL
LEMARC M
BUDD J
MARKUSOVA VA
CESARATTO S
VINKLER P
GARG KC
ENGLISCH H
ZHU J
BURRELL QL
ZACHOS G
LEWISON G
BONZI S
MASSIMO L
BOBE B
COLLINS PMD
MOED HF
NARIN F
DAHL M
TEICHLER U
HIGGINS T
LEWISON G
TSIPOURI LJ
GRUPP H
COURTIAL JP
PARTHEY H
BARRE R
TURNER WA
DAVOUST E
LEMINOR S
JAGODZINSKISIGOGNEAU M
DOU H
BARRE R
BAUIN S
TURNER WA
CALLON M
MAUGUIN P
ZITT M
GILLETT R
JASCHEK C
SENGUPTA IN
CANO V
LINDSEY D
FRAME J
PIANTA M
YAMAZAKI S
BALMER B
NARIN F
LEYDESDORFF L
JIMENEZ J
BRUNK GG
LEYDESDORFF L
ABRAMS PA
HICKS D
EBELING W
BARTEL HG
MAYOR F
BRAUN T
KOSTOVIC I
SHENHAV Y
BLAND CJ
GOMEZMEJIA LR
STEPHENSON MS
FREY BS
LUDWIG AM
ENNIS JG
CAPPELL CL
ERCEGOVAC Z
MUNOZ E
QUINTANILLA MA
SANZMENENDEZ L
KUHLEMEIER KV
PRATT GF
KUNZ M
KUNZ M
CHU ML
HURD JM
NARANAN S
CRASE D
MAGNAVAL R
SCHLOMAN BF
TIEN JM
TAGUESUTCLIFFE J
SICHEL HS
BURRELL QL
EGGHE L
ROUSSEAU R
GLANZEL W
TABAH AN
PAO ML
EGGHE L
DEMEIS L
GARNER R
BONITZ M
ROZHKOV S
COLEMAN SR
STROMBERG AG
GAILLARD J
EISEMON TO
TIFFIN S
KOLB JA
ROUSSEAU R
LINE MB
LINE MB
HORNER DS
BRADLEY SJ
HOLBROOK MB
ARUNACHALAM S
GARG KC
NARANAN S
KONRAD N
GARG KC
HOWARD MO
NEDERHOF AJ
WEEDMAN J
ROUSSEAU R
BORGMAN CL
OLUICVUKOVIC V
PERITZ BC
BURRELL QL
PIERCE SJ
BASU A
HARTER SP
HARTER SP
SEGLEN PO
GAILLARD J
KIM MT
USHIZAWA N
GERTZOG A
SENGUPTA IN
RAO IKR
PINERO JML
PINERO JML
PINERO JML
PINERO JML
BANOS JE
RICOY JR
BERGQUIST NR
STOCK WG
ARUTYUNOV VV
DIAMOND AM
SIMONTON DK
MARTIN B
KEALEY T
PENDLEBURY D
CAPSHEW JH
EYSENCK HJ
FURNHAM A
HARA H
RICE RE
NISONGER TE
COHEN J
LUZAR V
MILLER R
RAPPA MA
MALECKI EJ
LINDSEY D
TIJSSEN RJW
FRUMAU CCF
NARIN F
MEYERKRAHMER F
PITERNICK AB
LUUKKONEN T
SCHUBERT A
MENEGHINI R
SEN BK
DEARENAS JL
GAILLARD J
DELGADO H
RABINOVICH JE
KRAUSKOPF M
MACIASCHAPULA CA
FERNANDEZ MT
THOMAS SM
ROSEBOOM J
ADAMSON I
WHITNEY G
SANCHO R
CHATELIN Y
ELALAMI J
ROCHE M
SEN BK
TODOROV R
HAITUN SD
BARRE R
KEAY CSL
GRANOVSKY YV
JASCHEK C
JAIN A
LAW J
RUBIO AV
ORTEGA C
CANO F
MENDEZ A
BLASCO PG
PESTANA A
SANCHO R
MENDEZ A
FERREIRO L
BORDONS M
PAO ML
BRAUN T
ROUSSEAU R
HAITUN SD
HALL DH
LEMOINE W
LUUKKONEN T
LEYDESDORFF L
GARRISON HH
MARTIN BR
NARVAEZBERTHELEMOT N
NEDERHOF AJ
THOMAS KS
LANCASTER FW
ABT HA
LEMOINE W
HURT CD
EGGHE L
LEEMANS MJ
REYNIERS P
ROUSSEAU R
VANBORM J
DESMET E
DIERICK JCJ
DORBAN M
EGGHE L
PHILIPS R
PROVOST F
BRAUN T
GLANZEL W
CHU H
CHU H
HUOT C
LEYDESDORFF L
COURTIAL JP
LEYDESDORFF L
OKUBO Y
JOHNES G
MACZELKA H
GLANZEL W
CZAPSKI G
FORMANN AK
POURIS A
BORDONS M
ANDERSON F
LONG JS
WARD KB
LEYDESDORFF L
LINDSEY D
GREEN RG
BAKER DR
KOENIG M
COLMAN AM
PUNGOR E
DUPLENKO YK
BELL M
MENARD A
LONG JS
DANIEL HD
NEWBY GB
CICCHETTI DV
ROUSSEAU R
EXNER O
ALLEN BL
TRAWEEK S
BOTT DM
LONG JS
GARFIELD E
SMALL H
THOMPSON AM
COLMAN AM
KOCHHAR RK
ARUNACHALAM S
OVER R
ROMANIN S
CHAKRABARTI AK
COOPER RB
EGGHE L
CAGNIN MAH
SEATON DG
DUPLENKO YK
DEARENAS JL
PYENSON L
LEYDESDORFF L
GROBE SJ
BOUMANS P
EVERETT JE
KUNZ M
HOFFMAN DL
LIU MX
DIAMOND AM
FREY BS
THOMPSON AM
LIU MX
BRAUN T
NARVAEZBERTHELEMOT N
CURZON G
MACDONALD S
SEN SK
BURRELL QL
DIODATO V
TRIOLO VA
OLUICVUKOVIC V
EGGHE L
HARTER SP
LOSEE RM
GUARDIOLA E
VANFLEET C
HARSANYI MA
LANCASTER FW
SWANSON DR
LINE MB
ROTHENBERG D
NARIN F
GINN DS
CAMI J
CHERNYSHEVA LV
DUPLENKO YK
HARRIS JA
DUMAS T
NISONGER TE
TRIMBLE V
LECLERC M
BIEBER JP
PETERS HPF
PETERS HPF
ACHILLADELIS B
NEDERHOF AJ
PIRELA A
BALMER B
KRAUSKOPF M
SANCHEZSOSA JJ
SCHOIJET M
SMALL H
SCHUBERT A
BONITZ M
CZERWON HJ
DEBRUIN RE
GLANZEL W
KRETSCHMER H
VANLEEUWEN TN
LEYDESDORFF L
MENDEZ A
VANRAAN AFJ
SCHMOCH U
VINKLER P
COURTIAL JP
BONHEIM H
HUSSAIN SSM
LIMING L
WHITNEY G
CARACA JMG
HEMLIN S
QURASHI MM
NEDERHOF AJ
