ABBOTT, HARVEY L.
DEBOSE, YOLANDA
DEHEUVELS, PAUL
DENES, JOZSEF
DESHOUILLERS, JEAN-MARC
DEUBER, WALTER A.
DEZA, MICHEL-MARIE
DIAMOND, HAROLD GEORGE
DIRAC, GABRIEL ANDREW
DIXMIER, JACQUES
DOWKER, YAEL NAIM
DRAKE, DAVID A.
DUDLEY, UNDERWOOD
DUKE, RICHARD A.
DVORETZKY, ARYEH
ECKLUND, EARL F., JR.
EDREI, ALBERT
EGGLETON, ROGER B.
EL-ZAHAR, MOHAMED H.
ELEKES, GYORGY
ELLIOTT, PETER D. T. A.
ENTRINGER, ROGER C.
ERNE, MARCEL
EVANS, ANTHONY B.
FABER, VANCE
FAJTLOWICZ, SIEMION
FAUDREE, RALPH J.
FEJES TOTH, LASZLO
FELDHEIM, ERVIN
FELLER, WILLIAM
FELZENBAUM, ALEXANDER GERSH
FEW, L.
FISHBURN, PETER C.
FODOR, GEZA
FON-DER-FLAASS, DMITRI G.
FOWLER, JOEL C.
FRAENKEL, AVIEZRI S.
FRANKL, PETER
FREEDMAN, ALLEN R.
FREIMAN, GREGORY A.
FREUD, GEZA
FREUD, ROBERT
FRIED, ERVIN
FRIED, HANS
FUCHS, WOLFGANG HEINRICH JOHANNES
FUREDI, ZOLTAN
GAL, ISTVAN SANDOR
GALAMBOS, JANOS
GALLAI, TIBOR
GALVIN, FRED
GERENCSER, LASZLO
GILLIS, JOSEPH E.
GILLMAN, LEONARD
GIMBEL, JOHN GORDON
GINZBURG, ABRAHAM
GODDARD, WAYNE D.
GODSIL, CHRISTOPHER DAVID
GOLDBERG, MARK K.
GOLOMB, MICHAEL
GOODMAN, ADOLPH W.
GORDON, BASIL
GOULD, RONALD J.
GRAHAM, RONALD L.
GRAHAM, SIDNEY W.
GRANVILLE, ANDREW J.
GRIESER, DANIEL
GRILL, KARL
GRUBER, PETER MANFRED
GRUNBAUM, BRANKO
GRUNWALD, GEZA
GUNDERSON, DAVID S.
GUPTA, HANSRAJ
GUY, MICHAEL J. T.
GUY, RICHARD K.
GYARFAS, ANDRAS
GYORI, ERVIN
GYORY, KALMAN
HAJNAL, ANDRAS
HALASZ, GABOR
HALL, RICHARD ROXBY
HAMBURGER, PETER
HAMMER, JOSEPH
HANANI, HAIM
HANSON, DENIS
HARARY, FRANK
HARDY, GEORGE EUGENE
HARE, WILLIAM R.
HARNER, C. C.
HARTMAN, STANISLAW
HARTTER, ERICH
HARZHEIM, EGBERT
HATTINGH, JOHANNES H.
HECHLER, STEPHEN H.
HEDETNIEMI, STEPHEN T.
HEDRLIN, ZDENEK
HEGYVARI, NORBERT
HEILBRONN, HANS ARNOLD
HELL, PAVOL
HEMMINGER, ROBERT L.
HENNING, MICHAEL A.
HENRIKSEN, MELVIN
HERZOG, FRITZ
HERZOG, MARCEL
HICKERSON, DEAN R.
HIGGS, DENIS A.
HILDEBRAND, ADOLF J.
HINDMAN, NEIL
HOBBS, ARTHUR M.
HOFFMAN, ALAN J.
HOGGATT, VERNER E., JR.
HOLTON, DEREK ALLAN
HOLZMAN, RON
HORAK, PETER
HORVATH, MIKLOS
HOWORKA, EDWARD
HSU, DERBIAU FRANK
HUNT, G. A.
HWANG, JUN SHUNG
INDLEKOFER, KARL-HEINZ
INGHAM, ALBERT EDWARD
IVIC, ALEKSANDAR
JABOTINSKY, ERI
JACKSON, STEPHEN CRAIG
JACOBSON, MICHAEL S.
JAGOTA, ARUN K.
JANSON, SVANTE
JARNIK, VOJTECH
JIN, GUO PING
JONES, FRED B.
JOO, ISTVAN
JOO, MIKLOS ISTVAN
KAC, MARK
KAINEN, PAUL C.
KAKUTANI, SHIZUO
KAPLANSKY, IRVING
KARAMATA, JOVAN
KATAI, IMRE
KE, ZHAO
KELLY, PAUL JOSEPH
KENNEDY, JOHN W.
KESTELMAN, HYMAN
KHARE, SATGUR PRASAD
KIERSTEAD, HENRY A.
KISS, PETER
KLAMKIN, MURRAY S.
KLAWE, MARIA MARGARET
KLEITMAN, DANIEL J.
KLUGERMAN, MICHAEL
KNAPPENBERGER, J.
KOHAYAKAWA, YOSHIHARU
KOKSMA, JURJEN FERDINAND
KOMJATH, PETER
KOMLOS, JANOS
KOMORNIK, VILMOS
KOREN, ISRAEL
KOSTOCHKA, ALEXANDR V.
KOVARI, TAMAS
KRANTZ, STEVEN GEORGE
KRATSCH, DIETER
KRIVELEVICH, MICHAEL
KROO, ANDRAS V.
KUBICKA, EWA MARIE
KUBICKI, GRZEGORZ
KUNEN, KENNETH
LACAMPAGNE, CAROLE B.
LARSON, JEAN A.
LASKAR, RENU C.
LEFMANN, HANNO
LEHEL, JENO
LEHNER, JOSEPH
LENGYEL, BELA A.
LEVEQUE, WILLIAM JUDSON
LEWIN, MORDECHAI
LI, WEN-CH'ING WINNIE
LICK, DON R.
LINIAL, NATHAN
LIU, JIUQIANG
LOEBL, MARTIN
LORENTZ, GEORGE GUNTHER
LOVASZ, LASZLO
LOXTON, JOHN H.
LUCZAK, TOMASZ
MACINTYRE, ARCHIBALD JAMES
MAGIDOR, MENACHEM
MAHLER, KURT
MAIER, HELMUT
MAKAI, ENDRE, JR.
MAKKAI, MICHAEL
MALDE, PARESH J.
MARCUS, SOLOMON
MATE, ATTILA
MAULDIN, R. DANIEL
MAXSEIN, THOMAS
MAYS, MICHAEL E.
MCCANNA, JOSEPH E.
MCELIECE, ROBERT J.
MCKAY, BRENDAN D.
MEIR, AMRAM
MEYER, ANJA GABRIELE
MILLS, GEORGE HARLOW
MILNER, ERIC C.
MINC, HENRYK
MIRSKY, LEONID
MONTGOMERY, PETER L.
MOON, JOHN W.
MORAN, SHLOMO
MORTON, PATRICK
MOSER, LEO
MULLIN, RONALD C.
MURTY, MARUTI RAM
MURTY, VIJAYA KUMAR
NATHANSON, MELVYN B.
NESETRIL, JAROSLAV
NETANYAHU, ELISHA
NEVEU, JACQUES
NEWMAN, DONALD J.
NEY, PETER E.
NICOLAS, JEAN-LOUIS
NIVEN, IVAN
NORTON, DONALD A.
O'NEIL, PATRICK EUGENE
OBLATH, RICHARD
ODLYZKO, ANDREW M.
OELLERMANN, ORTRUD R.
OFFORD, A. C.
ORDMAN, EDWARD T.
OXTOBY, JOHN C.
PACH, JANOS
PALFY, PETER PAL
PALKA, ZBIGNIEW J.
PALMER, EDGAR M.
PAPP, ZOLTAN
PARSONS, TORRENCE DOUGLAS
PAYAN, CHARLES
PENNEY, DAVID E.
PHELPS, KEVIN T.
PINKUS, ALLAN M.
PIPPERT, RAYMOND E.
PIRANIAN, GEORGE
POLLACK, RICHARD M.
POLLARD, HARRY
POMERANCE, CARL
POSA, LAJOS
PRACHAR, KARL
PREISS, DAVID
PUDAITE, P.
PULLMAN, NORMAN J.
PURDY, GEORGE B.
PYBER, LASZLO
RADO, RICHARD
RAMACHANDRA, KANAKANAHALLI
RAO, SIDDANI BHASKARA
REDDY, A. R.
REID, TALMAGE JAMES
RENYI, ALFRED A.
REVESZ, PAL
REZNICK, BRUCE A.
RICHARDS, J. IAN
RICHMOND, LAWRENCE BRUCE
RIEGER, GEORG JOHANN
RIESEL, HANS
ROBINSON, ROBERT W.
RODL, VOJTECH
ROGERS, CLAUDE AMBROSE
ROSA, ALEXANDER
ROSENBLOOM, PAUL CHARLES
ROSENFELD, MOSHE
ROTHSCHILD, BRUCE L.
ROUSSEAU, CECIL CLYDE
RUBEL, LEE A.
RUBIN, ARTHUR L.
RUDIN, MARY ELLEN
RUZSA, IMRE Z.
RYAVEC, CHARLES A.
SACHS, HORST
SAFFARI, BAHMAN
SAIAS, ERIC
SAKS, MICHAEL E.
SALAMON, PETER
SARKOZY, ANDRAS
SARKOZY, GABOR N.
SAUER, NORBERT W.
SCHAER, JONATHAN
SCHELP, RICHARD H.
SCHERK, PETER
SCHINZEL, ANDRZEJ
SCHMUTZ, ERIC
SCHNITZER, FRANZ JOSEPH
SCHONHEIM, JOHANAN
SCHULMAN, LEONARD J.
SCHUSTER, SEYMOUR
SCHWENK, ALLEN JOHN
SEGAL, SANFORD L.
SEIDEL, WLADIMIR P.
SELFRIDGE, JOHN L.
SELKOW, STANLEY M.
SERESS, AKOS
SHALLIT, JEFFREY OUTLAW
SHAPIRO, HAROLD N.
SHAPIRO, HAROLD S.
SHARMA, AMBIKESHWAR
SHELAH, SAHARON
SHENG, T. K.
SHIELDS, ALLEN LOWELL
SHISHA, OVED
SHOREY, TARLOK N.
SILBERMAN, GABRIEL M.
SILVERMAN, RUTH
SIMMONS, GUSTAVUS J.
SIMONOVITS, MIKLOS
SINGHI, NAVIN MADHAVPRASAD
SIRAN, JOZEF
SIRAO, TUNEKITI
SKILTON, DONALD K.
SMITH, BRENT PENDLETON
SMITH, PAUL R.
SOIFER, ALEXANDER
SOS, VERA T.
SPECKER, ERNST P.
SPENCER, JOEL H.
SPIRO-SILVERMAN, CLAUDIA A.
STATON, WILLIAM A., III
STEIN, ALAN H.
STEIN, SHERMAN K.
STEWART, CAMERON L.
STINSON, DOUGLAS ROBERT
STONE, ARTHUR HAROLD
STRAIGHT, H. JOSEPH
STRAUS, ERNST G.
SUBBARAO, M. V.
SUEN, W.-C. STEPHEN
SUN, HUI CHENG
SURANYI, JANOS
SWART, HENDA C.
SZABADOS, JOZSEF
SZALAY, MICHAEL
SZEGEDY, MARIO
SZEGO, GABOR
SZEKELY, LASZLO A.
SZEKERES, GEORGE
SZEMEREDI, ENDRE
SZUSZ, PETER
TARSKI, ALFRED
TAYLOR, ALAN D.
TAYLOR, HERBERT
TAYLOR, SAMUEL JAMES
TENENBAUM, GERALD
TETALI, PRASAD
THOMASSEN, CARSTEN
TIJDEMAN, ROBERT
TOTIK, VILMOS
TOVEY, CRAIG A.
TROTTER, WILLIAM T., JR.
TURAN, PAL
TURK, JOHANNES WILHELMUS MARIA
TUTTE, WILLIAM THOMAS
TUZA, ZSOLT
ULAM, STANISLAW MARCIN
URBANIK, KAZIMIERZ
VAALER, JEFFREY D.
VALTR, PAVEL
VAN KAMPEN, E. R.
VAN LINT, JACOBUS HENDRICUS, JR.
VARMA, ARUN KUMAR
VAUGHAN, ROBERT C.
VAZSONYI, ENDRE
VERTESI, PETER O. H.
VESZTERGOMBI, KATALIN L.
VIJAYAN, KAIPILLIL
VINCZE, ISTVAN
VOLKMANN, BODO
WAGSTAFF, SAMUEL S., JR.
WEAKLEY, WILLIAM DOUGLAS
WEISS, GARY
WEST, DOUGLAS B.
WILLIAMSON, ALAN GLYNNE
WILSON, RICHARD M.
WILSON, ROBIN JAMES
WINKLER, PETER M.
WINTNER, AUREL
WORMALD, NICHOLAS C.
YAO, FOONG FRANCES
ZAKS, ABRAHAM
ZAKS, SHMUEL
ZALCSTEIN, YECHEZKEL
ZAREMBA, STANISLAW KRYSTYN
ZHANG, ZHEN XIANG
ZIV, ABRAHAM
