Abbott, Harvey L.
Nesetril, Jaroslav
Netanyahu, Elisha
Neveu, Jacques
Newman, Donald J.
Ney, Peter E.
Nicolas, Jean-Louis
Niven, Ivan
Norton, Donald A.
O'neil, Patrick Eugene
Oblath, Richard
Odlyzko, Andrew M.
Oellermann, Ortrud R.
Offord, A. C.
Ordman, Edward T.
Oxtoby, John C.
Pach, Janos
Palfy, Peter Pal
Palka, Zbigniew J.
Palmer, Edgar M.
Papp, Zoltan
Parsons, Torrence Douglas
Payan, Charles
Penney, David E.
Phelps, Kevin T.
Pinkus, Allan M.
Pippert, Raymond E.
Piranian, George
Pollack, Richard M.
Pollard, Harry
Pomerance, Carl
Posa, Lajos
Prachar, Karl
Preiss, David
Pudaite, P.
Pullman, Norman J.
Purdy, George B.
Pyber, Laszlo
Rado, Richard
Ramachandra, K.
Rao, Siddani Bhaskara
Reddy, A. R.
Reid, Talmage James
Renyi, Alfred A.
Revesz, Pal
Reznick, Bruce A.
Richards, J. Ian
Richmond, Lawrence Bruce
Rieger, Georg Johann
Riesel, Hans
Robinson, Robert W.
Rodl, Vojtech
Rogers, Claude Ambrose
Rosa, Alexander
Rosenbloom, Paul Charles
Rothschild, Bruce L.
Rousseau, Cecil Clyde
Rubel, Lee A.
Rubin, Arthur L.
Rudin, Mary Ellen
Ruzsa, Imre Z.
Ryavec, Charles A.
Sachs, Horst
Saffari, Bahman
Saias, Eric
Saks, Michael E.
Salamon, Peter
Sarkozy, Andras
Sauer, Norbert W.
Schaer, Jonathan
Schelp, Richard H.
Scherk, Peter
Schinzel, Andrzej
Schmutz, Eric
Schonheim, Johanan
Schulman, Leonard J.
Schuster, Seymour
Schwenk, Allen John
Segal, Sanford L.
Seidel, Wladimir P.
Selfridge, John L.
Selkow, Stanley M.
Seress, Akos
Shallit, Jeffrey Outlaw
Shapiro, Harold N.
Shapiro, Harold S.
Sharma, Ambikeshwar
Shelah, Saharon
Sheng, T. K.
Shields, Allen Lowell
Shisha, Oved
Shorey, Tarlok N.
Silberman, Gabriel M.
Silverman, Ruth
Simmons, A.
Simonovits, Miklos
Singhi, Navin Madhavprasad
Siran, Jozef
Sirao, Tunekiti
Skilton, Donald K.
Smith, Brent Pendleton
Smith, Paul R.
Soifer, Alexander
Sos, Vera T.
Specker, Ernst P.
Spencer, Joel H.
Spiro-Silverman, Claudia A.
Staton, William A., Iii
Stein, Alan H.
Stein, Sherman K.
Stewart, Cameron L.
Stinson, Douglas Robert
Stone, Arthur H.
Straight, H. Joseph
Straus, Ernst G.
Subbarao, M. V.
Suen, W.-C. Stephen
Sun, Hui Cheng
Suranyi, Janos
Swart, Henda C.
Szabados, Jozsef
Szalay, Michael
Szegedy, Mario
Szego, Gabor
Szekely, Laszlo A.
Szekeres, George
Szemeredi, Endre
Szusz, Peter
Tarski, Alfred
Taylor, Alan D.
Taylor, Herbert
Taylor, Samuel James
Tenenbaum, Gerald
Tetali, Prasad
Thomassen, Carsten
Tijdeman, Robert
Totik, Vilmos
Trotter, William T., Jr.
Turan, Pal
Turk, Johannes Wilhelmus Maria
Tutte, William Thomas
Tuza, Zsolt
Ulam, Stanislaw Marcin
Urbanik, Kazimierz
Vaaler, Jeffrey D.
Valtr, Pavel
Van Kampen, E. R.
Van Lint, Jacobus Hendricus, Jr.
Varma, Arun Kumar
Vaughan, Robert C.
Vazsonyi, Endre
Vertesi, Peter O. H.
Vesztergombi, Katalin L.
Vijayan, Kaipillil
Vincze, Istvan
Volkmann, Bodo
Wagstaff, Samuel S., Jr.
Weakley, William Douglas
Weiss, Gary
West, Douglas B.
Williamson, Alan Glynne
Wilson, Richard M.
Wilson, Robin James
Winkler, Peter M.
Wintner, Aurel
Wormald, Nicholas C.
Yao, Foong Frances
Zaks, Abraham
Zaks, Shmuel
Zalcstein, Yechezkel
Zaremba, Stanislaw Krystyn
Zhang, Zhen Xiang
Ziv, Abraham
