ABBOTT, HARVEY L.
DE CAEN, DOM
DE KONINCK, JEAN-MARIE
DEBOSE, YOLANDA
DEHEUVELS, PAUL
DENES, JOZSEF
DESHOUILLERS, JEAN-MARC
DEUBER, WALTER A.
DEZA, MICHEL-MARIE
DIAMOND, HAROLD GEORGE
DIRAC, GABRIEL ANDREW
DIXMIER, JACQUES
DOWKER, YAEL NAIM
DRAKE, DAVID A.
DUDLEY, UNDERWOOD
DUKE, RICHARD A.
DVORETZKY, ARYEH
ECKLUND, EARL F., JR.
EDREI, ALBERT
EGGLETON, ROGER B.
EL-ZAHAR, MOHAMED H.
ELEKES, GYORGY
ELLIOTT, PETER D. T. A.
ENTRINGER, ROGER C.
ERNE, MARCEL
EVANS, ANTHONY B.
FABER, VANCE
FAJTLOWICZ, SIEMION
FAUDREE, RALPH J.
FEJES TOTH, LASZLO
FELDHEIM, ERVIN
FELLER, WILLIAM
FELZENBAUM, ALEXANDER GERSH
FEW, L.
FISHBURN, PETER C.
FODOR, GEZA
FON-DER-FLAASS, DMITRI G.
FOWLER, JOEL C.
FRAENKEL, AVIEZRI S.
FRANKL, PETER
FREEDMAN, ALLEN R.
FREIMAN, GREGORY A.
FREUD, GEZA
FREUD, ROBERT
FRIED, ERVIN
FRIED, HANS
FUCHS, WOLFGANG HEINRICH JOHANNES
FUREDI, ZOLTAN
GAL, ISTVAN SANDOR
GALAMBOS, JANOS
GALLAI, TIBOR
GALVIN, FRED
GERENCSER, LASZLO
GILLIS, JOSEPH E.
GILLMAN, LEONARD
GIMBEL, JOHN GORDON
GINZBURG, ABRAHAM
GODDARD, WAYNE D.
GODSIL, CHRISTOPHER DAVID
GOLDBERG, MARK K.
GOLOMB, MICHAEL
GOODMAN, ADOLPH W.
GORDON, BASIL
GOULD, RONALD J.
GRAHAM, RONALD L.
GRAHAM, SIDNEY W.
GRANVILLE, ANDREW J.
GRIESER, DANIEL
GRILL, KARL
GRUBER, PETER MANFRED
GRUNBAUM, BRANKO
GRUNWALD, GEZA
GUNDERSON, DAVID S.
GUPTA, HANSRAJ
GUY, MICHAEL J. T.
GUY, RICHARD K.
GYARFAS, ANDRAS
GYORI, ERVIN
GYORY, KALMAN
HAJNAL, ANDRAS
HALASZ, GABOR
HALL, RICHARD ROXBY
HAMBURGER, PETER
HAMMER, JOSEPH
HANANI, HAIM
HANSON, DENIS
HARARY, FRANK
HARDY, GEORGE EUGENE
HARE, WILLIAM R.
HARNER, C. C.
HARTMAN, STANISLAW
HARTTER, ERICH
HARZHEIM, EGBERT
HATTINGH, JOHANNES H.
HECHLER, STEPHEN H.
HEDETNIEMI, STEPHEN T.
HEDRLIN, ZDENEK
HEGYVARI, NORBERT
HEILBRONN, HANS ARNOLD
HELL, PAVOL
HEMMINGER, ROBERT L.
HENNING, MICHAEL A.
HENRIKSEN, MELVIN
HERZOG, FRITZ
HERZOG, MARCEL
HICKERSON, DEAN R.
HIGGS, DENIS A.
HILDEBRAND, ADOLF J.
HINDMAN, NEIL
HOBBS, ARTHUR M.
HOFFMAN, ALAN J.
HOGGATT, VERNER E., JR.
HOLTON, DEREK ALLAN
HOLZMAN, RON
HORAK, PETER
HORVATH, MIKLOS
HOWORKA, EDWARD
HSU, DERBIAU FRANK
HUNT, G. A.
HWANG, JUN SHUNG
INDLEKOFER, KARL-HEINZ
INGHAM, ALBERT EDWARD
IVIC, ALEKSANDAR
JABOTINSKY, ERI
JACKSON, STEPHEN CRAIG
JACOBSON, MICHAEL S.
JAGOTA, ARUN KUMAR
JANSON, SVANTE
JARNIK, VOJTECH
JIN, GUO PING
JONES, FRED B.
JOO, ISTVAN
JOO, MIKLOS ISTVAN
KAC, MARK
KAINEN, PAUL C.
KAKUTANI, SHIZUO
KAPLANSKY, IRVING
KARAMATA, JOVAN
KATAI, IMRE
KE, ZHAO
KELLY, PAUL JOSEPH
KENNEDY, JOHN W.
KESTELMAN, HYMAN
KHARE, SATGUR PRASAD
KIERSTEAD, HENRY A.
KISS, PETER
KLAMKIN, MURRAY S.
KLAWE, MARIA MARGARET
KLEITMAN, DANIEL J.
KLUGERMAN, MICHAEL
KNAPPENBERGER, J.
KOHAYAKAWA, YOSHIHARU
KOKSMA, JURJEN FERDINAND
KOMJATH, PETER
KOMLOS, JANOS
KOMORNIK, VILMOS
KOREN, ISRAEL
KOSTOCHKA, ALEXANDR V.
KOVARI, TAMAS
KRANTZ, STEVEN GEORGE
KRATSCH, DIETER
KRIVELEVICH, MICHAEL
KROO, ANDRAS V.
KUBICKA, EWA MARIE
KUBICKI, GRZEGORZ
KUNEN, KENNETH
LACAMPAGNE, CAROLE B.
LAM, PETER CHE BOR
LARSON, JEAN A.
LASKAR, RENU C.
LEFMANN, HANNO
LEHEL, JENO
LEHNER, JOSEPH
LENGYEL, BELA A.
LEVEQUE, WILLIAM JUDSON
LEWIN, MORDECHAI
LI, WEN-CH'ING WINNIE
LICK, DON R.
LINIAL, NATHAN
LIU, JIUQIANG
LOEBL, MARTIN
LORENTZ, GEORGE GUNTHER
LOVASZ, LASZLO
LOXTON, JOHN H.
LUCZAK, TOMASZ
MACINTYRE, ARCHIBALD JAMES
MAGIDOR, MENACHEM
MAHLER, KURT
MAIER, HELMUT
MAKAI, ENDRE, JR.
MAKKAI, MICHAEL
MALDE, PARESH J.
MARCUS, SOLOMON
MATE, ATTILA
MAUDUIT, CHRISTIAN
MAULDIN, R. DANIEL
MAXSEIN, THOMAS
MAYS, MICHAEL E.
MCCANNA, JOSEPH E.
MCELIECE, ROBERT J.
MCKAY, BRENDAN D.
MEIR, AMRAM
MEYER, ANJA GABRIELE
MILLS, GEORGE HARLOW
MILNER, ERIC CHARLES
MINC, HENRYK
MIRSKY, LEONID
MONTGOMERY, PETER L.
MOON, JOHN W.
MORAN, SHLOMO
MORTON, PATRICK
MOSER, LEO
MULLIN, RONALD C.
MURTY, MARUTI RAM
MURTY, VIJAYA KUMAR
NATHANSON, MELVYN B.
NESETRIL, JAROSLAV
NETANYAHU, ELISHA
NEVEU, JACQUES
NEWMAN, DONALD J.
NEY, PETER E.
NICOLAS, JEAN-LOUIS
NIVEN, IVAN
NORTON, DONALD A.
O'NEIL, PATRICK EUGENE
OBLATH, RICHARD
ODLYZKO, ANDREW M.
OELLERMANN, ORTRUD R.
OFFORD, A. CYRIL
ORDMAN, EDWARD T.
OXTOBY, JOHN C.
PACH, JANOS
PALFY, PETER PAL
PALKA, ZBIGNIEW J.
PALMER, EDGAR M.
PAPP, ZOLTAN
PARSONS, TORRENCE DOUGLAS
PAYAN, CHARLES
PENNEY, DAVID E.
PHELPS, KEVIN T.
PINKUS, ALLAN M.
PIPPERT, RAYMOND E.
PIRANIAN, GEORGE
POLLACK, RICHARD M.
POLLARD, HARRY
POMERANCE, CARL
POSA, LAJOS
PRACHAR, KARL
PREISS, DAVID
PUDAITE, P.
PULLMAN, NORMAN J.
PURDY, GEORGE B.
PYBER, LASZLO
RADO, RICHARD
RAMACHANDRA, KANAKANAHALLI
RAO, SIDDANI BHASKARA
REDDY, A. R.
REID, TALMAGE JAMES
RENYI, ALFRED A.
REVESZ, PAL
REZNICK, BRUCE A.
RICHARDS, J. IAN
RICHMOND, LAWRENCE BRUCE
RIEGER, GEORG JOHANN
RIESEL, HANS
ROBINSON, ROBERT W.
RODL, VOJTECH
ROGERS, CLAUDE AMBROSE
ROSA, ALEXANDER
ROSENBLOOM, PAUL CHARLES
ROSENFELD, MOSHE
ROTHSCHILD, BRUCE L.
ROUSSEAU, CECIL CLYDE
RUBEL, LEE A.
RUBIN, ARTHUR L.
RUDIN, MARY ELLEN
RUZSA, IMRE Z.
RYAVEC, CHARLES A.
SACHS, HORST
SAFFARI, BAHMAN
SAIAS, ERIC
SAKS, MICHAEL E.
SALAMON, PETER
SALAT, TIBOR
SARKOZY, ANDRAS
SARKOZY, GABOR N.
SAUER, NORBERT W.
SCHAER, JONATHAN
SCHELP, RICHARD H.
SCHERK, PETER
SCHINZEL, ANDRZEJ
SCHMUTZ, ERIC
SCHNITZER, FRANZ JOSEPH
SCHONHEIM, JOHANAN
SCHULMAN, LEONARD J.
SCHUSTER, SEYMOUR
SCHWENK, ALLEN JOHN
SEGAL, SANFORD L.
SEIDEL, WLADIMIR P.
SELFRIDGE, JOHN L.
SELKOW, STANLEY M.
SERESS, AKOS
SHALLIT, JEFFREY OUTLAW
SHAPIRO, HAROLD N.
SHAPIRO, HAROLD S.
SHARMA, AMBIKESHWAR
SHELAH, SAHARON
SHENG, T. K.
SHIELDS, ALLEN LOWELL
SHISHA, OVED
SHOREY, TARLOK N.
SILBERMAN, GABRIEL M.
SILVERMAN, RUTH
SIMMONS, GUSTAVUS J.
SIMONOVITS, MIKLOS
SINGHI, NAVIN MADHAVPRASAD
SIRAN, JOZEF
SIRAO, TUNEKITI
SKILTON, DONALD K.
SMITH, BRENT PENDLETON
SMITH, PAUL R.
SOIFER, ALEXANDER
SOS, VERA T.
SPECKER, ERNST P.
SPENCER, JOEL H.
SPIRO-SILVERMAN, CLAUDIA A.
STATON, WILLIAM A., III
STEIN, ALAN H.
STEIN, SHERMAN K.
STEWART, CAMERON L.
STINSON, DOUGLAS ROBERT
STONE, ARTHUR HAROLD
STRAIGHT, H. JOSEPH
STRAUS, ERNST G.
SUBBARAO, M. V.
SUEN, W.-C. STEPHEN
SUN, HUI CHENG
SURANYI, JANOS
SWART, HENDA C.
SZABADOS, JOZSEF
SZALAY, MICHAEL
SZEGEDY, MARIO
SZEGO, GABOR
SZEKELY, LASZLO A.
SZEKERES, GEORGE
SZEMEREDI, ENDRE
SZUSZ, PETER
TARSKI, ALFRED
TAYLOR, ALAN D.
TAYLOR, HERBERT
TAYLOR, SAMUEL JAMES
TENENBAUM, GERALD
TETALI, PRASAD
THOMASSEN, CARSTEN
TIJDEMAN, ROBERT
TOTH, JANOS T.
TOTIK, VILMOS
TOVEY, CRAIG A.
TROTTER, WILLIAM T., JR.
TURAN, PAL
TURK, JOHANNES WILHELMUS MARIA
TUTTE, WILLIAM THOMAS
TUZA, ZSOLT
ULAM, STANISLAW MARCIN
URBANIK, KAZIMIERZ
VAALER, JEFFREY D.
VALTR, PAVEL
VAN KAMPEN, E. R.
VAN LINT, JACOBUS HENDRICUS
VARMA, ARUN KUMAR
VAUGHAN, ROBERT C.
VAZSONYI, ENDRE
VERTESI, PETER O. H.
VESZTERGOMBI, KATALIN L.
VIJAYAN, KAIPILLIL
VINCZE, ISTVAN
VOLKMANN, BODO
WAGSTAFF, SAMUEL S., JR.
WANG, JIAN FANG
WEAKLEY, WILLIAM DOUGLAS
WEISS, GARY
WEST, DOUGLAS B.
WILLIAMSON, ALAN GLYNNE
WILSON, RICHARD M.
WILSON, ROBIN JAMES
WINKLER, PETER M.
WINTNER, AUREL
WORMALD, NICHOLAS C.
YAO, FOONG FRANCES
ZAKS, ABRAHAM
ZAKS, SHMUEL
ZALCSTEIN, YECHEZKEL
ZAREMBA, STANISLAW KRYSTYN
ZHANG, ZHEN XIANG
ZIV, ABRAHAM
Aaronson, Jonathan
Aarts, Emile H. L.
Abbw-Jackson, Daniel
Abd el Maqsoud, A. E. I.
Abdel-Ghaffar, Khaled A. S.
Abel, R. Julian R.
Abel, Ulrich
Abhyankar, Shreeram S.
Ablow, Clarence M.
AboElFotoh, Hosam M.
Abraham, Bovas
Abraham, Uri
Abu-Sbeih, Mohammed Z.
Achuthan, N. R.
Achuthan, Nirmala
Acreman, D.
Aczel, S.
Adamec, Radek
Adami, Stefania
Adams, C. Raymond
Adams, Michael E.
Adams, William W.
Adelman, Murray
Adelman, Omer
Adena, Michael A.
Adhikary, Arun Kumar
Adleman, Leonard M.
Adler, Gyorgy
Adler, Ilan
Afek, Yehuda
Agarwal, Ashok Kumar-1
Agarwal, Pankaj Kumar
Agarwal, Vinod K.-2
Ageev, Alexander A.
Aggarwal, Alok
Agnew, Gordon B.
Agnew, Ralph Palmer
Agronsky, S. J.
Agur, Zvia
Aharoni, Gad
Aharoni, Moshe
Aharonov, Dov
Ahlswede, Rudolf F.
Ahrens, R. W.
Aiello, Walter G.
Aingworth, Donald
Aissen, Michael
Aitchison, Peter W.
Akbari-Feyzaabaadi, S.
Akeroyd, John
Akhlaghi, M. R. A.
Akiyama, Jin
Akkari, Safwan
Akyildiz, Ian Fuat
Al-Hakim, Latif A.
Al-Khnaifes, Khaled
Al-Rashed, Abdallah M.
Al-Wahabi, Kais
Alabau, Fatiha
Aladro, Gerardo
Albert, Michael H.
Albertson, Michael O.
Albrecht, Felix
Aldous, David J.
Aldred, Robert E. L.
Aleliunas, Romas
Alexander, Charles C.
Alexander, John Ralph
Alexanderson, Gerald L.
Alexits, Gyorgy
Alford, W. R. (Red)
Algor, I.
Ali, Asad Ali
Ali, Firasath
Ali, Hesham H.
Ali, Sayel A.
Aliev, I.
Alimov, Sh. A.
Aljancic, Slobodan
Alkan, Ahmet Ugur
Allan, Robert B.
Allen, G. Donald
Allen, Richard C., Jr.
Allenberg-Navony, Nechama
Allender, Eric
Alles, Peter
Allouche, Jean-Paul
Alm, Sven Erick
Alniacik, Kamil
Alpar, Laszlo
Alsina, Claudi
Alspach, Brian R.
Althoen, Steven C.
Alzer, Horst
Amar, Francois
Ambrose, Warren A.
Amdursky, Vardy
Amer, Mahmaud Abdel-Hamid
Amin, Ashok T.
Amit, R.
Ammann, Robert
An, Chung Ming
Ananchuen, W.
Anand, Harsh
Anastassiou, George A.
Anaya, Janet Crump
Andersen, Lars Dovling
Anderson, Bruce A.
Anderson, Daniel D.
Anderson, Ian
Anderson, Marlow
Anderson, Norman
Anderson, Peter G.
Anderson, Richard John
Anderson, Sabra Sullivan
Anderson, T. Laugenia
Anderson, Theodore W.
Anderson, William N., Jr.
Andersson, Jan-Olaf
Ando, Kiyoshi
Andreae, Thomas
Andreka, Hajnalka
Andresen, Bjarne
Andrews, George E.
Andrews, James A.
Andrica, Dorin
Ang, Dang Dinh
Angelos, James R.
Anselone, Philip M.
Anstee, Richard P.
Antoni, Jozef
Antosiewicz, Henry A.
Anunchuen, N.
Anzai, Hirotada
Ao, Suqin
Aoki, Masahiko
Apostol, Tom M.
Apostolico, Alberto
Applegate, David L.
Appleson, Robert R.
Apter, Arthur W.
Arad, Zvi
Arasu, K. T.
Arato, Matyas
Arazy, Jonathan
Archdeacon, Dan S.
Arens, Richard F.
Arlinghaus, Sandra L.
Arlinghaus, William C.
Armoni, Roy
Arms, Robert J.
Arnold, L. K.
Arnoux, Pierre
Aron, Ellen
Aronson, Jonathan
Arora, Sanjeev
Artes, Joan C.
Arthurs, Arnold Magowan
Artin, Emil
Artzner, Philippe
Arya, Sunil
Asano, Takao
Asano, Tetsuo
Aschbacher, Michael
Ash, Peter F.
Ashley, Jonathan
Ashton, R. J.
Askey, Richard A.
Asplund, Edgar
Aspnes, James
Asratyan, A. S.
Assaf, Ahmed M.
Assmann, Susan F.
Assmus, Edward F., Jr.
Assouad, Patrice
Astie-Vidal, Annie
Astoorian, Dan
Atan, Kamel A.
Ateniese, Giuseppe
Athreya, Krishna B.
Atici, M.
Atkin, A. O. L.
Atkinson, Kendall E.
Attar, R.
Attiya Hagit
Aubert, Karl Egil
Auer, Peter
Auerbach, Bruce
Auerbach, Herman
Aull, Charles E.
Auluck, Faqir Chand
Aupetit, Bernard H.
Aurenhammer, Franz
Auslander, Joseph
Austin, Richard
Avakumovic, Vojislav Gregor
Avdonin, Sergei A.
Aversa, Vincenzo
Awerbuch, Baruch
Axenovich, M.
Axler, Sheldon
Ayoub, Raymond G.
Azar, Yossi
Azor, Ruth
Baayen, Pieter C.
Baber, T. D. H.
Baboc, N.
Bach, Eric
Bachmuth, Seymour
Baclawski, Kenneth P.
Bacopoulos, Alexis
Bacro, Jean-Noel
Baerstein, Albert, II
Bagga, Kunwarjit S. (Jay)
Baggen, C. P. M. J.
Bahig, H. M.
Bai, Zhi Dong
Baikovicius, Jimmy
Baildon, John D.
Bailey, Craig Kinder
Bailey, Rosemary A.
Baillie, Robert
Baines, M. J.
Baiocchi, Claudio
Bajsanski, Bogdan M.
Bak, Joseph
Baker, Alan
Baker, G. B.
Baker, Irvine N.
Baker, John A.
Baker, John Walter
Baker, Kirby A.
Baker, Ronald D.
Bakonyi, Mihaly
Balaban, Alexandru T.
Balas, Egon
Balasubramanian, Ramachandran
Balatoni, Janos
Balazard, Michel
Balazs, Janos
Balazs, Katherine
Balcar, Bohuslav
Balcerzak, Marek
Baldi, Pierre
Baldwin, John T.
Balister, Paul
Balkema, A. A.
Ball, Michael O.
Balogh, Zoltan T.
Bambah, R. P.
Bampis, Evripidis
Banach, Stefan
Banaschewski, Bernhard
Band, Yehuda B.
Bandelt, Hans-Jurgen
Banerjee, Prithviraj
Bang, Chang Mo
Bang-Jensen, Jorgen
Bange, David W.
Bannai, Eiichi
Bannerjee, Subhankar
Bar-Noy, Amotz
Bar-Yehuda, Reuven
Barabash, Alexander
Barany, Imre
Barasch, Mariana
Barban, Mark Borisovic
Barbanel, Julius B.
Barbour, Andrew D.
Barbut, Erol
Barefoot, Curtiss A.
Bari, Ruth
Barkauskas, Anthony E.
Barlow, Martin T.
Barnard, Andries
Barnes, D. J.
Barnes, Earl R.
Barnes, John A.
Barnett, Arnold
Barnette, David W.
Baron, Gerd
Baron, Simson
Barr, Michael
Barrett, Wayne W.
Barroso, Jorge Alberto A. G.
Barrow, David L.
Barrucund, Pierre
Barsky, Daniel
Bartelt, Martin W.
Bartfai, Pal
Barth, Karl F.
Bartholdi, John J., III
Bartoszynski, Tomek
Barwise, K. Jon
Barzilai, Z.
Basa, Paulino
Basco, Gabor
Bashar, Mohd A.
Baskoro, Edy Tri
Bassily, Nader L.
Basu, Saugata
Bate, John Aubrey
Batman, Don
Batra, Anjula
Battle, Joseph
Bau, Sheng
Bauer, Douglas
Bauldry, William C.
Baum, Eric B.
Baumert, Leonard D.
Baumslag, Gilbert
Bayoumi, Bayoumi I.
Bazgan, Cristina
Beachy, John A.
Beals, Robert
Bean, Timothy J.
Beardon, Alan F.
Bearman, Jacob E.
Beatson, Rick K.
Beauchemin, Pierre
Beauquier, Bruno
Beaver, Donald deB.
Beck, Anatole
Beck, Jozsef
Beckenbach, Edwin F.
Becker, J. D.
Becker, Jochen
Becker, Joseph A.
Becker, Thomas
Beckner, William
Beda, Gyula
Bednarek, Alexander R.
Bedrosian, Samuel D.
Bedrossian, P.
Beece, D. K.
Beeler, Michael D.
Beenker, Gerard F. M.
Bein, Wolfgang W.
Beineke, Lowell W.
Beirlant, Jan
Bekessy, Andras
Bekessy, P.
Bekkali, Mohamed
Belas, Vladislav
Belasova, Jana
Bell, Jason P.
Bell, Murray G.
Bell, Steven R.
Beller, Eliyahu
Bellman, Richard Ernest
Bellow, Alexandra
Belna, Charles L.
Belnap, Nuel D., Jr.
Belousov, Valentin Danilovich
Ben-David, Shai
Ben-Eliyahu, Rachel
Ben-Natan, Ron
Ben-Or, Michael
Benade, Gerhard
Benczur, Andras
Bender, Edward A.
Bender, Renet Lovorn
Bending, T. D.
Benedict, James M.
Benesova, Maria
Benguria, Rafael
Benhocine, Abdelhamid
Bennett, Colin
Bennett, Frank E.
Benson, David John
Benyamini, Yoav
Benz, Walter
Bercov, Ronald D.
Berekova, Helena
Berend, Daniel
Berendsen, Carl
Berens, Hubert
Berenson, Hal
Beresford-Smith, Bryan
Berg, I. David
Berg, Lothar
Berg, Menachem
Berge, Claude
Berger, Thomas R.
Berglund, John F.
Bergman, George M.
Bergmann, Ernie E.
Bergstrand, Deborah
Bergum, Gerald E.
Bergweiler, Walter
Berkes, Istvan
Berkovich, Yakov G.
Berkovitz, Leonard D.
Berkson, Earl
Berlekamp, Elwyn R.
Berlin, T. H.
Berman, David M.
Berman, Gerald
Berman, Kenneth A.
Berman, Piotr
Berman, Robert D.
Bermond, Jean-Claude
Bern, Marshall W.
Bernat, Pierre
Berndt, Bruce C.
Bernhard, Philip J.
Bernhart, Frank R.
Bernholc, Jerzy
Bernstein, Philip A.
Berque, David A.
Berrizbeitia, Pedro
Berry Donald A.
Berry, Jonathan
Berry, R. Stephen
Bertram-Kretzberg, Claudia
Bertrand-Mathis, Anne
Besicovitch, Abram Samoilovitch
Beslagic, Amer
Bessi, Gerard
Best, Marc R.
Beth, Evert W.
Beth, Thomas
Betrema, Jean
Beukers, Frits
Beutelspacher, Albrecht
Beveridge, Andrew
Beyer, Terry
Beyer, William A.
Bezdek, Andras
Bezdek, Karoly
Bezivin, Jean-Paul
Bhalotra, Yashpaulraj
Bhaskaran, M.
Bhasker, Jayaram
Bhat-Nayak, Vasanti N.
Bhatt, Sandeep N.
Bhattacharya, Binay K.
Bhattacharyya, Sikha
Bialynicki-Birula, Andrzej
Bianchi, Gabriele
Bianchi, Maria Grazia
Bicknell-Johnson, Majorie
Bienstock, Daniel
Bierbrauer, Jurgen
Bigelow, David C.
Biggs, Norman L.
Billing, G.
Billington, Elizabeth J.
Bilu, Yuri F.
Binet, F. E.
Bing, R. H.
Bingham, Nicholas H.
Binmore, Kenneth G.
Biran, Ofer
Birch, Bryan J.
Bird, Elliott
Bird, Gregory J.
Birkenhead, R.
Birkhoff, Garrett
Birnbaum, Z. William
Biro, Babor
Biro, Balazs
Biro, Miklos
Bissinger, Barnard H.
Biswas, Rupak
Bisztriczky, Tibor
Bitan, Sara
Bittner, Kai
Bixby, Robert E.
Bjorck, Goran
Bjorn, Anders
Bjorner, Anders
Blachman, Nelson M.
Blackburn, John E.
Blackman, Jerome
Blackwell, David
Blair, Charles E.
Blair, William D.
Blake, Ian F.
Blakley, G. Robert
Blank, Brian E.
Blanksby, P. E.
Blass, Uri
Blatt, D.
Blatt, Hans-Peter
Blatter, Christian
Blaum, Mario
Blazsik, Zoltan
Bledsoe, Woodrow W.
Block, Henry David
Blokhuis, Aart
Bloom, Gary S.
Blum, Avrim
Blum, Manuel
Blumer, Anselm C.
Blundo, Carlo
Boarder, J. C.
Boas, Harold P.
Boas, Mary L.
Bochner, Salomon
Bodendiek, Ranier
Bodlaender, Hans L.
Bodroza, Olga
Boersma, Joop
Boesch, Francis T.
Boffey, T. Brian
Bogart, Kenneth P.
Bogmer, Antal
Bognar, J.
Bohman, Jan
Bohme, Thomas
Bohnenblust, H. Frederic
Bojanic, Ranko
Bojanov, Borislav D.
Bokhari, Muhammed A.
Bokowski, Jurgen
Boland, James W.
Boland, W. Robert
Bolker, Ethan D.
Boltyanski, Vladimir G.
Boman, Jan
Bombieri, Enrico
Bongiorno, Benedetto
Bonisoli, A.
Bonnington, C. Paul
Booth, Kellogg S.
Boppana, Ravi B.
Borbely, Albert
Borcherds, Richard E.
Borden, J. Martin
Borie, Richard B.
Boroczky, Karoly, Jr.
Borodin, Allan
Borodin, Oleg V.
Boron, Leo F.
Boros, Endre
Borovik, Alexandre Vasilievich
Borsik, Jan
Borsuk, Karol
Borwein, David
Borwein, Jonathan Michael
Borwein, Peter B.
Bos, A.
Bosanquet, Lancelot Stephen
Bosch, Karl
Bose, Arup
Bose, Raj Chandra
Boshernitzan, Michael D.
Bosserman, Robert W.
Boston, Nigel
Botelho, Fernanda
Bottema, Oene
Botto, M. A.
Bouchon, Bernadette
Boudrea, Paul E.
Bourgain, Jean
Bourgeois, Brian A.
Bourne, Samuel
Bouwkamp, Christoffel Jacob
Bouwsma, Ward
Bovdi, Adalbert A.
Bowen, N. A.
Boyd, David W.
Brace, Alan
Bracken, Paul
Bradford, Phillip G.
Bradley, David M.
Bradley, F. W.
Bradley, Richard C., Jr.
Braess, Dietrich
Brailovsky, Leonid V.
Brams, Steven J.
Bramson, Maury D.
Brand, Neal
Brandstadt, Andreas
Brandt, Stephan
Brankovic, Ljiljana
Brannan, David A.
Brassard, Gilles
Brauer, Richard Dagobert
Brayton, Robert K.
Brazil, Marcus
Brechner, Beverly L.
Brecht, Timothy B.
Bredon, Glen E.
Bregman, Z.
Breidt, F. Jay
Breitbart, Yuri
Bremner, Andrew
Bremner, David
Brendle, Jorg
Brenner, C.
Brent, Richard P.
Bressoud, David M.
Brewster, Richard C.
Brewster, Tony L.
Brickell, Ernest F.
Briggs, John
Briggs, Keith M.
Briggs, William E.
Brigham, Robert C.
Brightwell, Graham R.
Brinkmann, Gunnar
Brion, Michel
Brit, Hagit
Brizolis, Demetrios
Brochet, J.-M.
Brockwell, Peter J.
Broder, Andrei Z.
Brody, Andras
Broere, Izak
Broersma, Hajo J.
Broniatowski, Michel
Bronnimann, Herve
Bronstein, Victor
Brooks, Roland Leonard
Brostow, Witold
Brouwer, Andries E.
Broverman, Samuel
Browkin, Jerzy
Brown, Arlen
Brown, B. W., Jr.
Brown, Ezra
Brown, Gavin
Brown, Gordon
Brown, H.
Brown, Jason I.
Brown, John L., Jr.
Brown, John Wesley
Brown, Leon
Brown, P. J.
Brown, Russell
Brown, Thomas A.
Brown, W. Stanley
Brualdi, Richard A.
Bruck, Jehoshua
Bruck, Rainer
Brucker, Peter
Bruckman, Paul S.
Bruckner, Andrew M.
Brudern, Jorg
Brudno, Simcha
Bruen, Aiden A.
Bruj, I. N.
Brunet, Richard
