Stal Aanderaa
Noga Alon
Salman Azhar
John Reif
Pieter Cornelis Baayen
J. de_Groot
Laszlo Babai
Paul Turan
Vera Sos
Eric Bach
Leo Bachmair
Nachum Dershowitz
Ralph-Johan Back
Martti Tienari
Norman I. Badler
John Mylopoulos
Jos Baeten
W. Richter
Ricardo Baeza-Yates
Gaston Gonnet
Chandrajit Bajaj
Brenda Baker
Ron Book
Ted Baker
Juris Hartmanis
Miriam Balaban
Jose Balcazar
Josep Diaz
M.L. Balinsky
Albert Tucker
Amotz Bar-Noy
Eduardo F. Barbosa
Nivio Ziviani
Henk Barendregt
Georg Kreisel
David Mix Barrington
Michael Sipser
Yair Bartal
Amos Fiat
Janis Barzdins
Joe Bates
Alan Demers
Giuseppe Di Battista
Carlo Batini
G.M. Baudet
H.T. Kung
Marianne Baudinet
Aime J. Bayle
Forouzan Golshani
Rida Bazzi
Gil Neiger
Robert Beals
Paul Beame
John Beatty
Michael Harrison
Donald Beaver
Michael O. Rabin
John Beebee
Victor Klee
Catriel Beeri
Richard Beigel
John Gill
L.W. Beineke
Frank Harary
Mihir Bellare
Silvio Micali
Richard Bellman
Solomon Lefschetz
Amir Ben-Amram
Zvi Galil
Moti Ben-Ari
Amir Pnueli
Michael Ben-Or
J.D.C. Benaloh
? Benison
Robert Soare
Gary Benson
Samuel Bent
Jon Bentley
Donald Stanat
Jan A. Bergstra
Dirk van_Dalen
Hans Berliner
Allen Newell
Fran Berman
Bob Ritchie
Len Berman
Piotr Berman
Albert Meyer
Marshall Bern
Gene Lawler
Phil Bernstein
D. Tsichritzis
Andre Berthiaume
Gilles Brassard
Eike Best
Brian Randell
Peter E. Lauer
Sandeep Bhatt
Charles E. Leiserson
Nicole Bidoit
? Biezeno
---
Gianfranco Bilardi
G.D. Birkhoff
E.H. Moore
Garrett Birkhoff
Alex Birman
Jeffrey Ullman
James Bitner
Ed Reingold
Iliana Bjorling-Sachs
Diane Souvaine
Kenneth Blaha
Eugene Luks
Jean Blair
Errol Lloyd
J.O. Blanco
Robert Bland
D.R. Fulkerson
Meera Blattner
Sheila Greibach
Woody Bledsoe
A. P. Morse
Guy Blelloch
G.A. Bliss
Oskar Bolza
Stephen Bloch
Sam Buss
Peter Bloniarz
Avrim Blum
Ronald L. Rivest
Lenore Blum
Gerald Sacks
Marvin Minsky
Richard F. Blute
Andre Scedrov
Raymond Board
Lenny Pitt
Hans Bodlaender
Jan van_Leeuwen
Hans Boehm
Karl Weierstrass
Maria Paola Bonacina
Jieh Hsiang
Maria Luisa Bonet
Richard J. Bonneau
William Boone
Alonzo Church
Kelly Booth
Dick Karp
Ravi Boppana
V.A.J. Borghuis
Richard Borie
Craig Tovey
Gary Parker
Allan Borodin
Karol Borsuk
Stefan Mazurkiewicz
W. Bosma
Joan Boyar
Robert Boyer
Dan Brand
Nikolai Dmitrievich Brashman
? von_Littrov
David Bray
J.A. Robinson
Seth Breidbart
Gene Golub
George Forsythe
Andrei Broder
Donald E. Knuth
Andrej Brodnik
Fred Brooks
Felix Browder
Cynthia Brown
A. Blass
Donna Brown
Peter Elias
John Brown
David Gries
Mark Brown
Sally Browning
Carver Mead
Manfred Broy
F.L. Bauer
Kim Bruce
H.J. Keisler
John Bruno
Lou Weinberg
Anna Bruss
B.K.P. Horn
Adam L. Buchsbaum
Mark Buckingham
Martin Golumbic
Anatoli Buda
A.P. Ershov
Navin Budhiraja
Khaled Bugrara
Paul Purdom
Harry Buhrman
Leen Torenvliet
Steven Homer
Thang Bui
Tom Leighton
William Bultman
Wolfgang Maass
Peter Buneman
E. C. Zeeman
H. Bunt
Brandt Corstius
Jennifer J. Burg
Charles E. Hughes
Rainer Burkard
Edmund Hlawka
Walter Burkhard
P. Varaiya
James Burns
Nancy Lynch
Rich DeMillo
Jonathan Buss
Simon Kochen
Jean Butler
? Buys
? Zoutendijk
Cezar C&acirc;mpeanu
Cristian S. Calude
Jean-Marie Cadiou
Jin-yi Cai
Rob Calderbank
Marshall Hall
Paul Callahan
Solomon Marcus
David Carlson
John Savage
Rolf Karlsson
Jack Carlyle
A. Thomasian
Larry Carter
Berlekamp
John Case
Tom McLaughlin
Ross Casley
Bob Caviness
Alan Perlis
Pedro Celis
Paul Larson
Karlis Cerans
Seth Chaiken
Dan Kleitman
Tat-hung Chan
Bob Constable
William Chandler
Ashok Chandra
Tushar D. Chandra
Sam Toueg
Chen-Chung Chang
Alfred Tarski
Jik Chang
Oscar H. Ibarra
Richard Chang
Min Te Chao
John Franco
Bruce W. Char
Richard J. Fateman
Witold Charatonik
Leszek Pacholski
Shiva Chaudhuri
Soma Chaudhuri
Richard Ladner
Surajit Chaudhuri
Bernard Chazelle
David Dobkin
Thomas E. Cheatham
Pafnuty Lvovich Chebyshev
Brad Chen
Doug Tygar
Jingsen Chen
Keh-Jian Chen
Wen-Chin Chen
Jeff Vitter
Yui-Bin Chen
Doug Ierardi
Siu Wing Cheng
Ravi Janardan
John Cherniavsky
Paul Chew
Mike O'Donnell
L. Chiaraviglio
A. Hartzhorn
Andrew Chin
W.F. McColl
Francis Chin
Kenneth Steiglitz
Donald Chinn
Martin Tompa
Jawahar Chirimar
Dale Miller
Yookun Cho
Sartaj Sahni
Jan Chomicki
Tomasz Imielinski
Benny Chor
Yaacov Choveka
Claude-Andre Christen
Ernst Specker
Jeff Chu
Georg Schnitger
Fan Chung
Herb Wilf
M.-J. Chung
Hal Sudborough
Oswald Veblen
W. Chvatal
C. Nash-Williams
Edmund Clarke
Ken Clarkson
Andy Yao
V. Claus
Gunther Hotz
John Cleave
Andrew Booth
Rance Cleaveland
Peter Clote
J.R. Shoenfield
Brian Coan
Alan Cobham
E.F. Codd
John H. Holland
J.A.A. Coenen
Ed Coffman
Leonard Kleinrock
Daniel Cohen
Robert Cohen
Roberto Tamassia
Charles Colbourn
Richard Cole
George Collins
Barkley Rosser
Doug Comer
Ravi Sethi
K.T. Compton
O.W. Richardson
Anne Condon
Tim Connors
Curtis Cook
Steve Hedetniemi
Arthur H. Copeland_Jr
Norman Steenrod
Don Coppersmith
Shlomo Sternberg
Thomas C. Cormen
Kelly Gotleib
Aad van_Wijngaarden
Richard Courant
David Hilbert
Lenore Cowen
Claude Cr&eacute;peau
Roger Crew
Isabel Cruz
Alberto Mendelzon
Joseph Culberson
William Cunningham
Jack Edmonds
Walter Cunto
Jan Cuny
Bill Rounds
Haskell Curry
Nigel Cutland
Artur Czumaj
Paul Dagum
Michael Luby
Robert Daley
Don Loveland
J.G. Danaraj
David Magerman
Martin Davis
Scott Decatur
Leslie G. Valiant
Eliezer Dekel
Michael Dekhtyar
Peter Denning
Jack Dennis
? Derksen
? Van_der_Poel
Marcia Derr
Lloyd Devore
D.C. Duncan
W.R. Ham
Paul Warren DeVore
?
A.K. Dewdney
T.K. Dey
Jaco W. de_Bakker
Mark de_Berg
Mark Overmars
? de_Bruin
D.M.G. de_Champeaux_de_laboulaye
A.F. de_Geus
Wiebren de_Jonge
W.P. de_Roever
M. de_Rougement
Yiannis Moschovakis
? de_Troye
Erik P. de_Vink
Aditi Dhagat
Angel Dichev
Dimiter Skordev
Paul Dietz
Martin Dietzfelbinger
Edsger Wybe Dijkstra
R.P. Dilworth
?
Nevenka Dimitrova
Nahed El Djabri
R.W. Brockett
Gayla Domke
Renu Laskar
Guozhu Dong
Martin Dowd
Peter Downey
Jon Doyle
Gerald Jay Sussman
Burton Dreben
Jim Driscoll
Merrick Furst
Doron Drusinsky
David Harel
Scot Drysdale
Ding-Zhu Du
Weichang Du
William W. Wadge
Peter Deussen
O.S. Duffendack
Paul E. Dunne
Michael S. Paterson
Cynthia Dwork
Rex Dwyer
Daniel Sleator
Patrick Dymond
J.C. Earley
Robert W. Floyd
? Ebergen
Martin Rem
Hermann Maurer
Jeff Edmonds
Faith Fich
Andrzej Ehrenfeucht
Hartmut Ehrig
K. Leichweiss
U. Simon
G. Ehrlich
Samuel Eilenberg
Le Corbeiller
Allen Emerson
Erwin Engeler
Bernays
Joost Engelfriet
Gregorz Rozenberg
David Eppstein
Javier Esparza
Manuel Silva
Kousha Etessami
Neil Immerman
Evan_Cohn
Ron Fagin
Robert Vaught
Martin Farach
A.M. Farley
William Farmer
Kenneth Kunen
Joel Moses
Tony Oettinger
Antony Faustini
Joan Feigenbaum
Alan Fekete
David Mumford
Yishai Feldman
Abdelaziz Fellah
?
Mike Fellows
Mike Fredman
Walter Felscher
F.W.D. Levi
Amy Felty
Stephen Fenner
Stuart A. Kurtz
Chip Martel
Jeanne Ferrante
Hartley Rogers
Adi Shamir
Charles Fiduccia
Ion Filotti
Charles Fischer
John Williams
Patrick Fischer
Sophie Fischer
Marshall Fisher
Jeremy Shapiro
Philippe Flajolet
Jean Vuillemin
Sally Floyd
W.J. Fokkink
Amelia Fong
Ira R. Forman
Harlan D. Mills
J.D. Tamarkin
Lance Fortnow
Steve Fortune
Alfred Foster
Gregg Foster
James A. Foster
James Kenevan
Michael Fourman
Dana Scott
Ralph Fox
Aviezri S. Fraenkel
E.G. Straus
J. Estrin
Nissim Francez
Marvin Paull
Gudmund S. Frandsen
Mogens Nielsen
Andras Frank
Laszlo Lovasz
Peter Frankl
G. Katona
Harry Lewis
Helmut Franzen
C.H. Koster
Greg Frederickson
Matthew Hecht
Art Friedman
Steve Unger
Emily Friedman
Harvey Friedman
Joel Friedman
Steve Smale
Nathan Friedman
Don Friesen
C.L. Liu
Mark Fulk
Martin Furer
Donald Fussell
Zvi M. Kedem
Hal Gabow
Harold Stone
Peter Gacs
C.P. Schnorr
David Gale
Herve Gallaire
Bernard A. Galler
Marshall Stone
Paul Halmos
Jean Gallier
Robin Gandy
Alan Turing
Harald Ganzinger
Juergen Eickel
Juan Garay
Mike Garey
E.F. Moore
George Gargov
A.G. Dragalin
V.A. Uspenskij
Stephen Garland
Harvey Garner
Norman Scott
Oscar Garrido
Andrzej Lingas
Max Garzon
Paul E. Schupp
William Gasarch
J. von zur Gathen
Volker Strassen
Fanica Gavril
Hillel Gazit
Gary Miller
Matt Geller
Pete Gemmell
Rosario Gennaro
Mihaly Gereb-Graus
John Geske
Alan Selman
Mujtaba Ghouse
Michael T. Goodrich
Raffaele Giancarlo
Peter B. Gibbons
Phil Gibbons
Joseph Gil
Avi Wigderson
John Gilbert
Rick Giles
R.W. Robinson
David Gillman
Ben Dushnik
Jay Gischer
Arthur Gittleman
Magnus Hestenes
Joseph Giuliano
Shafee Give'on
David Gladstein
Mitchell Wand
Wayne Goddard
Kurt G&ouml;del
Hans Hahn
Igal Golan
Allen Goldberg
Andrew Goldberg
Leslie Goldberg
Mark Jerrum
Paul Goldberg
Kenneth Goldman
Sally Goldman
Mikael Goldmann
Johan Hastad
Oded Goldreich
Leslie M. Goldschlager
Judy Goldsmith
Deborah Joseph
Arthur Goldstein
Jon Goldstine
Edwin Spanier
Mordecai Golin
Robert Sedgewick
A.H. Taub
Ralph Gomory
Jacob Gonczarowski
Alan George
Teofilo Gonzalez
Don Good
Ralph London
Nat Goodman
Ajei Gopal
Dan Gordon
Vivek Gore
Deepak Goyal
Albert Gr&auml;ef
Clemens Lautemann
Niall Graham
Ron Graham
Derrick Lehmer
Scott Graham
Susan Graham
Gosta Grahne
Kari-Jouko Raiha
Ed Granirer
Harry Kesten
Jim Gray
Frederic Green
Feza Gursey
Albert Greenberg
Ronald Greenberg
Dan Greene
Raymond Greenlaw
Larry Ruzzo
John Grefenstette
Andreas Griewank
Michelangelo Grigni
Victor Grinberg
Yuri Lyubich
Dana Grinstead
Peter J. Slater
Joachim Grollmann
Jan Friso Groote
Jerrold W. Grossman
Daniel M. Kan
Adam Grove
Joe Halpern
Stephane Grumbach
Jim Grundy
Michael J. C. Gordon
? Grune
Dah Jyh Guan
Steve Guattery
Leonidas J. Guibas
Katia Guimaraes
Ashish Gupta
Udai Gupta
Vineet Gupta
Eitan Gurari
Yuri Gurevich
P.G. Kontorovich
Dan Gusfield
Annegret Habel
Hans-Joerg Kreowski
Stuart Haber
A. Nico Habermann
Jacques Hadamard
?
Ramsey Haddad
Thilo Hafer
Wolfgang Thomas
David Haglin
Shankar Venkatesan
Brent Hailpern
Sue Owicki
L. Kalmar
Cordelia V. Hall
David S. Wise
Oystein Ore
Magnus Halldorsson
Bernd Halstenberg
R. Reischuk
Robert Millikan
Suzanne Hambrusch
Janos Simon
Dick Hamlet
Michael M. Hammer
Yenjo Han
Lane Hemaspaandra
Vijay Hanagandi
Michael Nikolaou
John Hannan
Eleanor Hare
Dov Harel
George Lueker
T. Harju
Arto Salomaa
Neal Harman
John Tucker
Leo Harrington
R. Carnap
Carl Hauser
David Haussler
Ivan Havel
Lenny Heath
Erich Hecke
Don Heller
J.F. Traub
Hans Heller
R. Bayer
Lisa Hellerstein
D.P. Helmbold
Monika R. Henzinger
Thomas A. Henzinger
Maurice Herlihy
Barbara H. Liskov
John Hershberger
Amir Herzberg
Uschi Heuter
Rattikorn Hewett
Giora Slutzki
Carl Hewitt
Seymour Papert
Allan Heydon
A. Heyting
L.E.J. Brouwer
Ferdinand Lindemann
Friedhelm Hinz
Dan Hirschberg
Chun-Kuen Ho
My Hoang
John Mitchell
John Hobby
Dorit Hochbaum
Peter Hochschild
Joshua Hodas
Berthold Hoffman
Chris Hoffman
Larry Landweber
Martin Hofmann
Thomas Hofmeister
Ingo Wegener
Walter Hohberg
Arthur Banks
Nicolas Holzschuch
Claude Puech
Peter Honeyman
Jim Hoover
R.L. Matson
Heinz Hopf
Erhard Schmidt
Ellis Horowitz
Alexander Horsch
Ned Horvath
K. Reidemeister
Brian Howard
Paul G. Howard
Rodney Howell
Louis E. Rosier
Tom Howell
Scott Huddleston
W.E. Singletary
Richard Hull
Chao-Kuei Hung
Harry Hunt
Greg Hunter
Joan Hutchinson
Hans Huttel
Colin Stirling
Dung Huynh
Martin Hyland
Dexter Kozen
Edmund Ihler
Peter Widmayer
Newman Ilan
Witold Lipski
Russell Impagliazzo
Sandra Irani
Isaac Saias
Alexander T. Ishii
Veysi Isler
Bulent Ozguc
Alon Itai
Pino Italiano
Ljubomir Ivanov
Ken Iverson
Kazuo Iwano
Kenneth Steiglitz?
Kenkichi Iwasawa
Shokichi Iyanaga
Teiji Takagi
Joseph Ja'Ja'
Konrad Jacobs
Wilhelm Maak
Jeff Jaffe
Arun K. Jagota
Kenneth Regan
Sanjay Jain
Hakan Jakobsson
Fahimeh Jalili
Jan van_der_Craats
? Spijker
Theo M.V. Janssen
Prasad Jayanti
Eric Jeltsch
Tom Jenkyns
Niels Jensen
Grant D. Fisher
Tao Jiang
Carl Jockusch
David S. Johnson
Donald B. Johnson
Steven D. Johnson
Anita Jones
Douglas Jones
Thomas T. Chen
Neil D. Jones
S. Takasu
Paul Young
J.H. Jou
Yuh-Jzer Joung
Scott Smolka
David Juedes
Jack Lutz
Ramana Juvvadi
Mark Kac
Hugo Steinhaus
James Kadin
Jeff Kahn
D. Ray-Chaudhuri
? Kaldewaij
Burton Kaliski
Eric Kaltofen
Bala Kalyanasundaram
John Kam
Anil Kamath
Serge Plotkin
Tsutomu Kamimura
A.H.G. Rinnooy Kan
G. de_Leve
Paris Kanellakis
Christos H. Papadimitriou
Arkady Kanevsky
Vijaya Ramachandran
Viggo Kann
Les Trotter
Sampath Kannan
Goos Kant
Mark Kaplan
Sanjiv Kapoor
Bruce Kapron
David Karger
Rajeev Motwani
J. Karhumaki
Oded Kariv
Anna Karlin
Howard Karloff
Narendra Karmarkar
Mark Karpinsky
W. Orlicz
Kevin Karplus
Owen Kaser
I.V. Ramakrishnan
Sam Kashdan
Jyrki Katajainen
Olli Nevalainen
Dinesh Katiyar
Howard Katseff
Matthew J. Katz
Micha Sharir
Shmuel Katz
John Kececioglu
Gene Myers
Alexander Kechris
A. Paz
Sam Winograd
Mark Keil
John Kemeny
R. Kemp
Robert Kennedy
Brian Kernighan
Peter Weiner
? Kersten
Yonit Kesten
A.J. Kfoury
Michael Kharitonov
Samir Khuller
Vijay Vazirani
Don Kiel
M. Kifer
Joe Kilian
Pekka Kilpelainen
Heikki Mannila
Chul Kim
Sam Kim
Efim Kinber
R.M. King
Valerie King
C.M.R. Kintala
Shlomo Kipnis
Walter Kirchherr
David Kirkpatrick
Lefteris Kirousis
Jyrki Kivinen
Esko Ukkonen
Maria Klawe
Tony Lau
E.J. McShane
Felix Klein
Julius Plucker
David Shmoys
J. Schwinger
R. Glauber
Ton Kloks
J.W. Klop
Tony Klug
A.S. Klusener
Edgar Knapp
Jayadev Misra
Ker-I Ko
Daniel Moore
Pascal Koiran
Michel Cosnard
J.N. Kok
Phokion Kolaitis
Daphne Koller
Janos Komlos
Alfred Renyi
Kireeti Kompella
Ephraim Korach
Tmima Koren
Hank Korth
H.P. Korver
Martha Kosa
Jennifer Welch
H. Yamada
Anthony Kosky
Susan B. Davidson
T. Kowaltowski
J.H. Morris
Dean Krafft
Dina Kravets
Hugo Krawczyk
Mark Krentel
B. Krishnamurthy
Robert Moll
P. Krishnan
Habib Krit
Ken Krohn
Fred Kruher
Kurt Schutte
Clyde Kruskal
Jack Schwartz
Joe Kruskal
Harold Kuhn
Werner Kuich
V.K.P. Kumar
Gabi Kuper
Bradley C. Kuszmaul
Shay Kutten
Shlomo Moran
Miroslaw Kutylowski
K.L. Kwast
Martin H. L&ouml;b
John von_Neumann
Ludwig L&ouml;we
?
Jeff Lagarias
Harold Stark
? Lakshman
Shui Lam
Tak-Wah Lam
Edmund Lamagna
Alexis Lamouret
Marie-Paule Gascuel
Gad Landau
Uzi Vishkin
Susan Landau
J.R. Buchi
Mike Langston
Amy Lansky
Andrea LaPaugh
Lawrence L. Larmore
Sharon Laskowski
Dirk Siefkes
Joan Lawry
Aldo Lazar
Joram Lindenstrauss
D.T. Lee
Sing-Ling Lee
William Edward Story
Daniel Lehmann
Brian Leininger
R. Leipala
Dan Leivant
A.S. Troelstra
Tom Lengauer
A.K. Lenstra
H.K. Lenstra
F. Oort
J.K. Lenstra
Katja Lenz
Hon Wai Leong
Pierre Lescanne
Claude Pair
John Leuchner
Joe Leung
Christos Levcopoulos
Gary Levin
Leonid A. Levin
David Levine
Forbes Lewis
John Lewis
Phil Lewis
Ernie Guillemin
Lide Li
Ming Li
Chuck Liang
Y. Daniel Liang
S.K. Dhall
Ran Libeskind-Hadas
Leonid Libkin
David Lichtenstein
Orna Lichtenstein
Karl Lieberherr
Arthur L. Liestman
Roy H. Campbell
Jyh-Han Lin
Shen Lin
Tibor Rado
Patrick Lincoln
Steven Lindell
Erik Sandewall
M. Linna
Wiktor Marek
Dick Lipton
David Parnas
Maciej Liskiewicz
Dean Arden
Austin Lobo
Irina Lomazova
Jean-Christophe Lombardo
Phil Long
Tim Long
John Longley
Luc Longpre
Krzysztof Lorys
Tibor Gallai
C L. Lucchesi
D.H. Younger
David Luckham
David Luginbuhl
Carsten Lund
Zhaohui Luo
Rod Burstall
Yuh-Dauh Lyuu
Michael Machtey
Saunders MacLane
Herman Weyl
Eugene Madison
George Mager
Bruce Maggs
Talal Maghrabi
Tom Magnanti
George Dantzig
Steve Mahaney
Bernd Mahr
David Maier
? Mailloux
Harry Mairson
Aniket Majumdar
Fillia Makedon
G. Krulee
Erkki Makinen
Reino Kurki-Suonio
Yoni Malachi
Oded Maler
Miller Maley
Seth Malitz
Mark Manasse
Terry Millar
Rachel Manber
Udi Manber
Ken Manders
Joseph Manning
Yishai Mansour
Weizhen Mao
Madhav Marathe
Richard Stearns
Yves Marcoux
Pierre McKenzie
Peter Mark
Tassos Markas
Andrei Andreevich Markov
Assaf Marron
Conrado Martinez
Rafael Casas
Vic Massad
Barton A. Weitz
Tom Mathies
Steve Matthews
Steve Maurer
S. Mauw
John Mayberry
Brian Mayoh
Elvira Mayordomo
Manfred Paul
Waclaw Sierpinski
John McCarthy
Ed McCreight
Cathy McGeoch
Lyle McGeoch
David McQueen
Nimrod Megiddo
Michael Maschler
J. Meidanis
Karl Meinke
R. Melville
Arif Merchant
Mike Merritt
Takis Metaxas
Wolfgang Paul
Ruben Michel
A. Middeldorp
Milena Mihail
Victor Milenkovic
Takeo Kanade
Michael Morley
Peter Andrews
Ray Miller
Franz Hohn
Webb Miller
Ogden Rood
Peter Miltersen
Sven Skyum
Nathaniel Mishkin
Joseph Mitchell
Sandra Mitchell
William H. Mitchell
Sarah Mocas
Bob Moenck
John Lipson
Faron Moller
Robin Milner
Margaret Montenyohl
H.A. Newton
Kate Morris
Mohamed Mosbah
Bruno Courcelle
Yoram Moses
Nils Nilsson
Ben Moszkowski
Howard Motteler
Carl Smith
D. Mount
Arnaldo V. Moura
Steve Muchnick
Inderpal Mumick
Daniel Allen Muntz
Dick Muntz
Ilmir Musikaev
Jean Musinski
Thomas Myers
Theo Pavlidis
Gopalan Nadathur
Ashish V. Naik
Dalit Naor
Joseph Naor
Moni Naor
Giri Narasimhan
Chandra Narayanan
Lata Narayanan
Danny Krizanc
Jeffrey F. Naughton
Greg Nelson
Anil Nerode
Carl Gottfried Neumann
?
Herb Simon
A. Nijholt
Bengt J. Nilsson
Stefan Nilsson
Noam Nisan
Damian Niwinski
Jerzy Tiuryn
Mark H. Nodine
Lars Nyland
Colm O'Dunlaing
Zoran Obradovic
Ian Parberry
Bojana Obrenic
Andrew Odlyzko
Mitsunori Ogihara
Kojiro Kobayashi
Hans J&uuml;rgen Ohlbach
J&ouml;rg Siekmann
Atsushi Ohori
E.R. Olderog
Hans Langmaack
Dino P. Oliva
Derek Oppen
Fredrik Orava
Joachim Parrow
Thor Skolem
Mehmet Orgun
Jim Orlin
Arthur Veinott
Pekka Orponen
Sylvia Osborn
Frank Tompa
Ross Overbeek
Leszek Pacholki
Czeslaw Ryll-Nardzewski
Peter Padawitz
Carl V. Page
Sophia A. Paleologou
Michael Palis
Luquan Pan
Viktor Pan
A.G. Vitushkin
Jean-Jacques Pansiot
Thomas Papadakis
Marios C. Papaefthymiou
Panos Pardalos
Luis Trabb Pardo
Rohit Parikh
David Park
James K. Park
Kunsoo Park
Bruce Parker
Bj&ouml;rn Pehrson
Tory Parsons
Helmut Partsch
Solomon Passy
Shaunak Pawagi
Andrzej Pelc
Doron Peled
Sriram Pemmaraju
M. Penttonen
Peter Pepper
Rene Peralta
Yehoshua Perl
Pino Persiano
Gary L. Peterson
Ola Petersson
Petjo Petkov
A.A. Markov
Erez Petrank
Cynthia Phillips
Steven Phillips
Geoff Phipps
Paul Pilgrim
Tad Pinkerton
Ron Pinter
Shlomit Pinter
Nick Pippenger
David Plaisted
Thane Plambeck
Mike Plass
C. Greg Plaxton
Mark Pleszkoch
Gordon Plotkin
Detlef Plump
C.L. Pekeris
Patricio Poblete
Michel Pocchiola
Andy Podgurski
Lori Clarke
A. Ponse
Kjell Post
Allen van_Gelder
Andreas Potthoff
Han la Poutre
Roberto Vacca
Jan Prins
Robert Probert
Helmut Prodinger
Kirk Pruhs
Teresa Przytycka
Geppino Pucci
Fabrizio Luccio
Bill Pulleyblank
R.W. Kavanaugh
Yuval Rabani
Alexander Rabinovich
Charles Rackoff
Slavian Radev
A. Skowron
Helena Rasiowa
Jaikumar Radhakrishnan
Endre Szemeredi
Tomasz Radzik
Prabhakar Ragde
Balaji Raghavachari
Prabhakar Raghavan
Clark Thomborson
Arvind Raghunathan
Sanguthevar Rajasekaran
Sergio Rajsbaum
Rajeev Raman
Venkatesh Raman
Sridhar Ramaswamy
G.D. Ramkumar
Lyle Ramshaw
Desh Ranjan
R. Ravi
S.S. Ravi
Yiftach Ravid
Bala Ravikumar
R.C. Bose
Vaclar Raylich
Gene Rose
Samuel A. Rebelsky
David A. Reckhow
Philip C. Singer
Robert Reckhow
Larry Reeker
Dominic Welsh
Nick Reingold
S. Reisch?
Gyorgy Revesz
Injong Rhee
Greg Riccardi
Craig Rich
J.J. Thomson
Moty Ricklin
Jon Riecke
Tom Rigles
Dennis Ritchie
Ed Robertson
Abraham Robinson
Paul Dienes
Mickey Rodeh
Susan Rodger
John D. Rogers
Pankaj Rohatgi
David Rolston
Kathleen Romanik
John Rompel
P. Rondogiannis
Robert Roos
Don Rose
Kristoffer H. Rose
Barry Rosen
Dan Rosenkrantz
Arnie Rosenthal
Roni Rosner
Kenneth Ross
G&uuml;nter Rote
E.P. Rotterdam
Branislav Rovan
Jim Royer
Aviel David Rubin
Ronitt Rubinfeld
Roy Rubinstein
K. Ruohonen
Daniela Rus
Michael Rusinowitch
David. Russo
Laura Sabel
George Sacerdote
Daryel Sachse-Akerlind
Martin Ward
Fred Sadri
Hershel Safer
Muli Safra
Yehoshua Sagiv
Bill Sakoda
Mike Saks
Gerard Salton
Laura Sanchis
Daniel P. Sanders
Robin Thomas
Yatin Saraiya
Huzur Saran
Majid Sarragzadeh
Carla Savage
David Muller
Irwin Jacobs
Homer Savige
Wiley Housewright
Walter Savitch
Larry Saxton
Vladimir Sazonov
John Myhill
Tom Schaefer
Robert E. Schapire
Barry Schaudt
Edward R. Scheinerman
Douglas West
William Scherlis
Baruch Schieber
Karl Schimf
Ulrich Schmid
Heinz-Wilhelm Schmidt
Jeanette Schmidt-Prozan
Walter Schnyder
Uwe Schoning
Wolfram Schwabh&auml;user
Leonard Schulman
Martin Schultz
?
Steve Schwartz
Otfried Schwarzkopf
Thomas Schwentick
Edward Sciore
William T. Scott
Silke Seehusen
Joel Seiferas
Stanley Selkow
James Korsh
Warren Semon
Sandeep Sen
Ken Sevcik
Linus Shrage
Vivian Sewelson
Jeffrey Shaffer
Amitabh Shah
Jeffrey Shallit
Ron Shamir
Ilan Adler
Mike Shamos
Claude Shannon
Frank Hitchcock
Greg Shannon
Lloyd Shapley
Mary Shaw
Jim Shearer
Xiaojun Shen
Anil M. Shende
Alan T. Sherman
Rivka Sherman
Yossi Shiloach
Oded Shmueli
Peter Shor
Robert Shostak
Victor Shoup
